# Mon Aug 25 13:51:03 2014
#
# Cooling Map File
#
# Loop values:
# hden -1
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -23.3881  -24.3577  -303.6527  -303.6527  -303.6527  -303.6527  -32.0603  -303.6527  -303.6527  -303.6527  -31.3749  -303.6527  -303.6527  -303.6527  -44.2221  -44.4670
3.10  -23.4168  -24.3932  -303.6527  -303.6527  -303.6527  -303.6527  -31.8435  -303.6527  -303.6527  -303.6527  -31.2604  -303.6527  -303.6527  -303.6527  -39.6396  -39.8963
3.20  -23.4480  -24.4316  -52.5814  -52.8410  -303.6527  -303.6527  -31.6974  -303.6527  -303.6527  -303.6527  -31.1751  -303.6527  -303.6527  -303.6527  -36.0029  -36.2689
3.30  -23.4818  -24.4733  -47.3598  -47.6280  -303.6527  -303.6527  -31.6044  -303.6527  -303.6527  -303.6527  -31.1057  -303.6527  -48.1620  -48.3221  -33.1172  -33.3906
3.40  -23.5184  -24.5184  -43.2111  -43.4862  -303.6527  -303.6527  -31.5510  -36.4546  -36.6396  -303.6527  -31.0454  -303.6527  -43.5441  -43.7339  -30.8284  -31.1077
3.50  -23.5579  -24.5671  -39.9142  -40.1948  -303.6527  -303.6527  -31.5267  -33.7697  -33.9547  -303.6527  -30.9924  -35.9828  -39.8787  -40.0921  -29.0147  -29.2987
3.60  -23.6006  -24.6195  -37.2938  -37.5788  -303.6527  -303.6527  -31.5238  -31.6272  -31.8122  -30.7737  -30.9473  -33.4752  -36.9706  -37.2027  -27.5802  -27.8679
3.70  -23.6467  -24.6758  -35.2110  -35.4994  -303.6527  -303.6527  -31.5364  -29.9197  -30.1047  -29.0265  -30.9107  -31.2242  -34.6642  -34.9112  -26.4494  -26.7401
3.80  -23.6993  -24.7430  -33.5562  -33.8473  -303.6527  -303.6527  -31.5608  -28.5654  -28.7504  -27.6477  -30.8829  -29.3674  -32.8357  -33.0945  -25.5627  -25.8557
3.90  -23.7487  -24.8131  -32.2411  -32.5345  -303.6527  -303.6527  -31.5929  -27.4964  -27.6814  -26.5640  -29.8326  -27.8842  -31.3862  -31.6544  -24.8710  -25.1659
4.00  -23.6854  -24.8731  -31.1957  -31.4908  -303.6527  -303.6527  -28.7013  -26.6549  -26.8399  -25.7189  -28.1702  -26.7122  -30.2363  -30.5120  -24.3312  -24.6276
4.10  -23.1611  -24.7531  -30.3592  -30.6556  -303.6527  -303.6527  -27.3742  -25.9901  -26.1750  -25.0676  -26.8146  -25.7878  -29.2953  -29.5769  -23.9095  -24.2071
4.20  -22.4882  -24.2050  -29.6196  -29.9172  -303.6527  -303.6527  -26.3259  -25.4724  -25.6573  -24.5764  -25.6630  -24.9894  -28.2752  -28.5615  -23.6503  -23.9489
