# Mon Aug 25 14:14:02 2014
#
# Cooling Map File
#
# Loop values:
# hden 1.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -25.6116  -26.5816  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -35.2516  -308.6526  -308.6526  -308.6526  -45.7401  -45.9850
3.10  -25.6198  -26.5965  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -35.1440  -308.6526  -308.6526  -308.6526  -41.0319  -41.2885
3.20  -25.6288  -26.6128  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -35.0649  -308.6526  -308.6526  -308.6526  -37.2664  -37.5325
3.30  -25.6388  -26.6307  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -35.0010  -308.6526  -52.0559  -52.2160  -34.2766  -34.5501
3.40  -25.6499  -26.6503  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -39.6397  -39.8247  -308.6526  -34.9459  -308.6526  -47.4433  -47.6331  -31.9186  -32.1980
3.50  -25.6620  -26.6715  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -36.9456  -37.1306  -34.0483  -34.8979  -39.0846  -43.7830  -43.9963  -30.0629  -30.3469
3.60  -25.6753  -26.6946  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -34.8114  -34.9964  -31.8229  -34.8575  -36.1336  -40.8797  -41.1118  -28.6006  -28.8884
3.70  -25.6899  -26.7194  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -33.1245  -33.3095  -30.0583  -34.8259  -33.7625  -38.5784  -38.8254  -27.4474  -27.7382
3.80  -25.7043  -26.7524  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -31.8263  -32.0112  -28.6606  -34.3423  -31.8776  -36.7566  -37.0154  -26.5390  -26.8321
3.90  -25.5554  -26.7769  -308.6526  -308.6526  -308.6526  -308.6526  -33.6577  -30.7817  -30.9666  -27.5537  -32.3719  -30.3826  -35.3151  -35.5833  -25.8244  -26.1194
4.00  -24.6453  -26.5022  -308.6526  -308.6526  -308.6526  -308.6526  -31.9642  -29.9173  -30.1022  -26.6752  -30.6492  -29.1902  -34.1723  -34.4480  -25.2557  -25.5521
4.10  -23.4861  -25.3826  -308.6526  -308.6526  -308.6526  -308.6526  -30.4466  -29.0625  -29.2474  -25.8636  -29.0202  -27.9934  -33.1301  -33.4117  -24.6855  -24.9831
4.20  -22.2714  -24.0334  -308.6526  -308.6526  -308.6526  -308.6526  -28.8582  -28.0048  -28.1894  -24.7228  -26.4423  -25.7687  -31.3737  -31.6600  -23.8105  -24.1090
4.30  -22.1286  -23.7846  -308.6526  -308.6526  -308.6526  -308.6526  -26.9844  -26.5569  -26.7414  -24.3228  -24.6274  -24.2443  -28.8306  -29.1207  -23.8761  -24.1754
4.40  -22.3571  -23.9353  -30.4558  -30.7549  -308.6526  -308.6526  -25.1527  -25.0680  -25.2525  -24.5669  -23.8168  -23.6744  -26.4019  -26.6950  -24.4546  -24.7544
4.50  -22.5849  -24.1097  -29.1737  -29.4733  -308.6526  -308.6526  -23.8377  -24.0299  -24.2144  -24.6844  -23.3787  -23.4377  -24.7650  -25.0604  -25.0088  -25.3091
4.60  -22.8021  -24.2911  -26.9624  -27.2625  -308.6526  -308.6526  -22.9816  -23.3984  -23.5828  -24.6985  -23.0987  -23.3240  -23.9549  -24.2522  -25.4962  -25.7969
4.70  -23.0044  -24.4713  -25.2837  -25.5841  -308.6526  -308.6526  -22.4554  -23.0552  -23.2396  -24.7999  -22.9254  -23.2810  -23.4685  -23.7673  -25.9185  -26.2195
4.80  -23.1878  -24.6431  -24.0312  -24.3319  -308.6526  -308.6526  -22.1390  -22.8888  -23.0732  -25.0312  -22.8643  -23.3302  -23.0745  -23.3745  -26.2703  -26.5716
4.90  -23.3486  -24.7997  -23.0673  -23.3683  -308.6526  -308.6526  -21.9524  -22.8258  -23.0102  -25.5090  -23.0515  -23.6118  -22.9099  -23.2107  -26.5213  -26.8227
