# Mon Aug 25 13:37:14 2014
#
# Cooling Map File
#
# Loop values:
# hden -2.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.8100  -23.7797  -29.7393  -30.0403  -300.6526  -300.6526  -29.0344  -300.6526  -300.6526  -300.6526  -28.9023  -300.6526  -300.6526  -300.6526  -44.0257  -44.2707
3.10  -22.8749  -23.8512  -29.7415  -30.0426  -300.6526  -300.6526  -28.8300  -300.6526  -300.6526  -300.6526  -28.7868  -300.6526  -300.6526  -300.6526  -39.4888  -39.7455
3.20  -22.9419  -23.9255  -29.7327  -30.0337  -300.6526  -300.6526  -28.6865  -300.6526  -300.6526  -300.6526  -28.7033  -300.6526  -300.6526  -300.6526  -35.9008  -36.1669
3.30  -23.0109  -24.0025  -29.7110  -30.0121  -300.6526  -300.6526  -28.5831  -300.6526  -300.6526  -300.6526  -28.6367  -300.6526  -45.6930  -45.8531  -33.0677  -33.3411
3.40  -23.0821  -24.0822  -29.6779  -29.9789  -300.6526  -300.6526  -28.5066  -35.0629  -35.2479  -300.6526  -28.5803  -300.6526  -41.0789  -41.2687  -30.8351  -31.1145
3.50  -23.1555  -24.1646  -29.6364  -29.9375  -47.7203  -47.9187  -28.4488  -32.3956  -32.5806  -300.6526  -28.5328  -33.3808  -37.4191  -37.6325  -29.0808  -29.3648
3.60  -23.2310  -24.2498  -29.5911  -29.8921  -43.6763  -43.8963  -28.4052  -30.2744  -30.4594  -30.6103  -28.4938  -31.2148  -34.5172  -34.7493  -27.7074  -27.9952
3.70  -23.3087  -24.3378  -29.5459  -29.8468  -40.4494  -40.6866  -28.3739  -28.5908  -28.7759  -28.8921  -28.4598  -29.3993  -32.2133  -32.4603  -26.6378  -26.9285
3.80  -23.3919  -24.4355  -29.4508  -29.7506  -37.8739  -38.1247  -28.3541  -27.2593  -27.4443  -27.5657  -28.4241  -27.8268  -30.3769  -30.6357  -25.8109  -26.1040
3.90  -23.4765  -24.5349  -28.8703  -29.1655  -35.8167  -36.0783  -28.3445  -26.2149  -26.3998  -26.5815  -28.3828  -26.5303  -28.9062  -29.1744  -25.1787  -25.4736
4.00  -23.5570  -24.6352  -27.8982  -28.1934  -34.1698  -34.4400  -28.3441  -25.4000  -25.5849  -25.8900  -26.9808  -25.5409  -27.7338  -28.0095  -24.7016  -24.9981
4.10  -23.5821  -24.7277  -27.0509  -27.3474  -32.8460  -33.1230  -26.1446  -24.7631  -24.9480  -25.4213  -25.8428  -24.8174  -26.8205  -27.1021  -24.3474  -24.6450
4.20  -23.3893  -24.7406  -26.3903  -26.6879  -31.7697  -32.0522  -25.1261  -24.2728  -24.4577  -25.1027  -24.9659  -24.2924  -26.1156  -26.4019  -24.1110  -24.4096
4.30  -23.0077  -24.5351  -25.9025  -26.2009  -30.8391  -31.1259  -24.3466  -23.9190  -24.1038  -24.8899  -24.2939  -23.9107  -25.5078  -25.7978  -24.1189  -24.4182
4.40  -22.7381  -24.2812  -25.5492  -25.8483  -29.8840  -30.1742  -23.7827  -23.6979  -23.8827  -24.7788  -23.7778  -23.6353  -24.9262  -25.2193  -24.5061  -24.8059
4.50  -22.7194  -24.2318  -25.2904  -25.5900  -28.9770  -29.2699  -23.3480  -23.5401  -23.7248  -24.7237  -23.3893  -23.4482  -24.4029  -24.6983  -25.0303  -25.3306
4.60  -22.8510  -24.3340  -25.0183  -25.3184  -28.4593  -28.7544  -22.8801  -23.2968  -23.4815  -24.7135  -23.1112  -23.3363  -23.9420  -24.2392  -25.5314  -25.8322
4.70  -23.0233  -24.4865  -24.6394  -24.9398  -28.1778  -28.4746  -22.4412  -23.0409  -23.2255  -24.8196  -22.9453  -23.3007  -23.5151  -23.8138  -25.9888  -26.2898
4.80  -23.1959  -24.6485  -23.9177  -24.2184  -27.7585  -28.0567  -22.1381  -22.8878  -23.0724  -25.0714  -22.9048  -23.3706  -23.1384  -23.4384  -26.3836  -26.6849
4.90  -23.3542  -24.8031  -23.0535  -23.3544  -27.0348  -27.3340  -21.9567  -22.8300  -23.0146  -25.5696  -23.1119  -23.6721  -22.9746  -23.2754  -26.6470  -26.9484
5.00  -23.5020  -24.9538  -22.4318  -22.7329  -26.3444  -26.6445  -21.9749  -22.9507  -23.1352  -26.6261  -23.8896  -24.5314  -23.3229  -23.6245  -26.7780  -27.0796
5.10  -23.6490  -25.1068  -22.3829  -22.6841  -25.7625  -26.0633  -22.4805  -23.5421  -23.7266  -27.8782  -24.8821  -25.5952  -23.8889  -24.1910  -26.9437  -27.2454
