# Fri Apr  7 00:05:04 2023
#
# Cooling Map File
#
# Loop values:
# hden 0
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -23.5466  -25.5491  -31.2556  -31.5498  -9999.  -9999.  -31.8380  -33.7811  -33.7753
3.100  -23.5156  -25.5478  -31.3001  -31.5943  -9999.  -9999.  -31.6603  -33.7997  -33.7945
3.200  -23.4850  -25.5473  -31.3251  -31.6192  -9999.  -9999.  -31.5376  -33.8055  -33.8007
3.300  -23.4550  -25.5477  -31.3295  -31.6236  -9999.  -9999.  -31.4516  -33.7958  -33.7916
3.400  -23.4255  -25.5489  -31.3168  -31.6109  -9999.  -9999.  -31.3921  -33.7722  -33.7689
3.500  -23.3968  -25.5510  -31.2922  -31.5864  -9999.  -9999.  -31.3536  -33.7300  -33.7303
3.600  -23.3687  -25.5542  -31.2597  -31.5539  -9999.  -9999.  -31.3315  -33.1350  -33.2499
3.700  -28.1836  -29.2492  -30.3339  -30.2596  -9999.  -9999.  -31.3342  -33.5653  -33.6390
3.800  -28.1349  -29.2539  -30.2817  -30.2076  -9999.  -9999.  -31.3283  -32.2097  -32.3771
3.900  -27.3125  -29.0800  -30.2223  -30.1525  -9999.  -9999.  -31.3235  -31.1382  -31.3125
4.000  -25.8534  -27.7736  -30.0615  -30.0490  -9999.  -9999.  -31.3250  -30.2944  -30.4721
4.100  -23.6231  -25.3697  -29.4169  -29.6933  -9999.  -9999.  -31.4441  -29.6427  -29.8248
4.200  -22.3141  -23.9144  -28.8439  -29.1390  -9999.  -9999.  -31.4387  -28.6688  -28.8544
4.300  -22.3564  -23.8431  -28.7993  -29.0964  -9999.  -9999.  -31.5551  -26.6576  -26.8462
4.400  -23.0947  -24.4101  -28.7048  -29.0033  -9999.  -9999.  -31.7396  -25.1428  -25.3333
4.500  -23.4410  -24.6545  -28.4190  -28.7183  -9999.  -9999.  -31.8079  -24.0623  -24.2550
4.600  -23.5252  -24.7318  -26.6807  -26.9804  -9999.  -9999.  -30.3714  -23.3140  -23.5095
4.700  -23.4591  -24.6953  -25.0630  -25.3632  -9999.  -9999.  -29.0040  -22.9770  -23.1746
4.800  -23.5710  -24.8503  -23.8978  -24.1982  -9999.  -9999.  -28.0639  -22.8515  -23.0502
4.900  -23.6868  -25.0518  -22.9670  -23.2680  -9999.  -9999.  -27.3739  -22.8131  -23.0132
5.000  -23.7979  -25.2178  -22.3771  -22.6791  -28.6864  -28.9862  -26.9998  -22.9982  -23.2001
5.100  -23.9157  -25.3363  -22.4730  -22.7751  -26.5414  -26.8423  -27.2913  -23.7682  -23.9715
5.200  -24.0182  -25.4563  -22.9798  -23.2825  -24.6887  -24.9903  -27.9789  -24.8295  -25.0336
5.300  -24.1159  -25.5730  -23.4761  -23.7786  -23.3411  -23.6440  -28.6445  -25.7715  -25.9770
5.400  -24.2010  -25.6818  -23.9203  -24.2227  -22.4812  -22.7839  -29.2488  -26.6390  -26.8462
5.500  -24.2284  -25.7255  -24.3007  -24.6027  -22.2764  -22.5795  -29.7826  -27.3879  -27.5969
5.600  -24.3755  -25.8565  -24.6098  -24.9116  -22.6183  -22.9215  -30.2400  -28.0645  -28.2756
5.700  -24.5426  -26.0032  -24.8488  -25.1509  -23.0543  -23.3573  -30.6227  -28.6469  -28.8592
5.800  -24.7035  -26.1439  -25.0319  -25.3340  -23.4501  -23.7532  -30.9457  -29.1422  -29.3538
5.900  -24.8583  -26.2798  -25.2514  -25.5544  -23.7816  -24.0846  -31.3029  -29.6696  -29.8795
6.000  -25.0124  -26.4154  -25.5955  -25.8984  -24.0318  -24.3342  -31.7817  -30.3028  -30.5099
6.100  -25.1641  -26.5496  -26.1067  -26.4092  -24.1974  -24.4993  -32.4250  -31.0722  -31.2754
6.200  -25.3137  -26.6828  -26.7508  -27.0528  -24.3381  -24.6396  -33.1988  -31.9724  -32.1690
6.300  -25.4610  -26.8149  -27.4279  -27.7299  -24.5554  -24.8582  -34.0038  -32.8847  -33.0715
6.400  -25.6067  -26.9465  -28.0843  -28.3863  -24.9342  -25.2369  -34.7862  -33.7468  -33.9226
6.500  -25.7512  -27.0780  -28.7054  -29.0074  -25.4812  -25.7840  -35.5310  -34.5828  -34.7412
6.600  -25.8950  -27.2097  -29.2928  -29.5953  -26.1077  -26.4107  -36.2406  -9999.  -9999.
6.700  -26.0383  -27.3418  -29.8511  -30.1541  -26.7361  -27.0392  -36.9194  -9999.  -9999.
6.800  -26.1816  -27.4745  -30.3836  -30.6871  -27.3377  -27.6409  -37.5713  -9999.  -9999.
6.900  -26.3248  -27.6078  -30.8938  -31.1977  -27.9068  -28.2098  -38.1998  -9999.  -9999.
7.000  -26.4683  -27.7420  -31.3853  -31.6891  -28.4439  -28.7468  -38.8084  -9999.  -9999.
7.100  -26.6121  -27.8771  -31.8603  -32.1640  -28.9516  -29.2546  -39.3998  -9999.  -9999.
7.200  -26.7563  -28.0131  -32.3214  -32.6249  -29.4355  -29.7384  -39.9765  -9999.  -9999.
7.300  -26.9010  -28.1500  -32.7710  -33.0745  -29.8978  -30.2008  -40.5413  -9999.  -9999.
7.400  -27.0464  -28.2880  -9999.  -9999.  -30.3409  -30.6438  -9999.  -9999.  -9999.
7.500  -27.1923  -28.4268  -9999.  -9999.  -30.7669  -31.0698  -9999.  -9999.  -9999.
7.600  -27.3388  -28.5666  -9999.  -9999.  -31.1783  -31.4812  -9999.  -9999.  -9999.
7.700  -27.4860  -28.7073  -9999.  -9999.  -31.5773  -31.8802  -9999.  -9999.  -9999.
7.800  -27.6337  -28.8489  -9999.  -9999.  -31.9660  -32.2688  -9999.  -9999.  -9999.
7.900  -27.7820  -28.9914  -9999.  -9999.  -32.3464  -32.6492  -9999.  -9999.  -9999.
8.000  -27.9308  -29.1345  -9999.  -9999.  -32.7204  -33.0232  -9999.  -9999.  -9999.
