# Fri Apr  7 02:27:07 2023
#
# Cooling Map File
#
# Loop values:
# hden 1.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -25.0096  -27.0121  -34.0623  -34.3564  -9999.  -9999.  -33.8758  -36.5416  -36.5359
3.100  -24.9757  -27.0080  -34.0884  -34.3826  -9999.  -9999.  -33.6785  -36.5453  -36.5401
3.200  -24.9420  -27.0043  -34.0971  -34.3912  -9999.  -9999.  -33.5379  -36.5368  -36.5321
3.300  -24.9085  -27.0012  -34.0875  -34.3817  -9999.  -9999.  -33.4363  -36.5141  -36.5099
3.400  -24.8754  -26.9988  -34.0649  -34.3590  -9999.  -9999.  -33.3651  -36.4799  -36.4766
3.500  -24.8426  -26.9969  -34.0365  -34.3307  -9999.  -9999.  -33.3208  -36.3890  -36.4024
3.600  -24.8102  -26.9956  -34.0078  -34.3019  -9999.  -9999.  -33.3002  -35.1686  -35.3244
3.700  -30.8144  -31.9859  -9999.  -9999.  -9999.  -9999.  -9999.  -36.6691  -36.8145
3.800  -29.9258  -31.8606  -9999.  -9999.  -9999.  -9999.  -9999.  -35.3186  -35.4910
3.900  -28.2690  -30.4268  -9999.  -9999.  -9999.  -9999.  -9999.  -34.2873  -34.4631
4.000  -26.0863  -28.0182  -9999.  -9999.  -9999.  -9999.  -9999.  -33.6310  -33.8098
4.100  -23.6226  -25.3686  -9999.  -9999.  -9999.  -9999.  -9999.  -32.1590  -32.3409
4.200  -22.3149  -23.9140  -9999.  -9999.  -9999.  -9999.  -9999.  -28.6007  -28.7861
4.300  -22.3682  -23.8520  -9999.  -9999.  -9999.  -9999.  -9999.  -26.6035  -26.7917
4.400  -23.7923  -24.8001  -9999.  -9999.  -9999.  -9999.  -9999.  -25.1147  -25.3050
4.500  -23.9561  -24.9098  -29.0059  -29.3039  -9999.  -9999.  -32.4636  -24.0309  -24.2234
4.600  -24.0340  -25.0062  -26.6440  -26.9420  -9999.  -9999.  -30.3341  -23.2261  -23.4205
4.700  -24.1025  -25.0930  -24.8191  -25.1195  -9999.  -9999.  -28.7600  -22.9090  -23.1045
4.800  -24.2245  -25.2198  -23.6791  -23.9795  -9999.  -9999.  -27.8452  -22.8339  -23.0293
4.900  -24.3344  -25.3554  -22.8377  -23.1386  -9999.  -9999.  -27.2446  -22.8196  -23.0150
5.000  -24.4352  -25.5006  -22.2158  -22.5178  -9999.  -9999.  -26.8388  -23.2016  -23.4004
5.100  -24.5619  -25.6525  -22.5136  -22.8158  -26.4723  -26.7707  -27.3323  -24.4212  -24.6245
5.200  -24.6586  -25.7713  -23.4671  -23.7697  -24.4696  -24.7712  -28.4663  -26.0250  -26.2293
5.300  -24.7596  -25.9015  -24.3613  -24.6637  -23.0658  -23.3687  -29.5296  -27.5559  -27.7613
5.400  -24.7059  -25.9584  -24.7108  -25.0132  -22.3220  -22.6246  -30.0394  -27.9732  -28.1803
5.500  -24.8484  -26.0848  -24.9360  -25.2379  -22.2813  -22.5844  -30.4180  -28.3994  -28.6084
5.600  -24.7162  -26.0138  -25.3022  -25.6038  -22.7825  -23.0857  -30.9325  -29.1751  -29.3862
5.700  -24.8738  -26.2185  -25.5044  -25.8063  -23.3356  -23.6386  -31.2785  -29.7064  -29.9187
5.800  -24.9087  -26.2625  -25.6311  -25.9327  -23.7141  -24.0172  -31.5453  -30.1049  -30.3165
5.900  -24.9933  -26.3392  -25.8788  -26.1808  -24.0028  -24.3057  -31.9313  -30.6538  -30.8638
6.000  -25.1064  -26.4511  -26.3610  -26.6631  -24.2051  -24.5076  -32.5495  -31.4948  -31.7018
6.100  -25.2319  -26.5711  -26.8152  -27.1174  -24.3279  -24.6299  -33.1367  -32.1666  -32.3698
6.200  -25.3710  -26.7048  -27.3035  -27.6053  -24.4432  -24.7448  -33.7550  -32.7873  -32.9838
6.300  -25.5027  -26.8304  -27.7492  -28.0511  -24.6732  -24.9760  -34.3287  -33.3287  -33.5155
6.400  -25.6350  -26.9565  -28.3037  -28.6056  -25.1138  -25.4164  -35.0091  -34.0317  -34.2074
6.500  -25.7704  -27.0848  -28.8643  -29.1662  -25.7026  -26.0045  -35.6933  -9999.  -9999.
6.600  -25.9057  -27.2138  -29.4003  -29.7028  -26.3138  -26.6164  -36.3515  -9999.  -9999.
6.700  -26.0432  -27.3447  -29.9249  -30.2279  -26.9085  -27.2115  -36.9967  -9999.  -9999.
6.800  -26.1821  -27.4767  -30.4353  -30.7388  -27.4811  -27.7843  -37.6265  -9999.  -9999.
6.900  -26.3220  -27.6098  -30.9349  -31.2387  -28.0319  -28.3350  -38.2444  -9999.  -9999.
7.000  -26.4632  -27.7441  -31.4194  -31.7231  -28.5366  -28.8395  -38.8460  -9999.  -9999.
7.100  -26.6048  -27.8791  -31.8883  -32.1919  -29.0054  -29.3083  -39.4312  -9999.  -9999.
7.200  -26.7469  -28.0145  -32.3428  -32.6464  -29.4659  -29.7688  -40.0015  -9999.  -9999.
7.300  -26.8899  -28.1511  -32.7874  -33.0908  -29.9190  -30.2220  -40.5611  -9999.  -9999.
7.400  -27.0339  -28.2889  -9999.  -9999.  -30.3578  -30.6608  -9999.  -9999.  -9999.
7.500  -27.1788  -28.4277  -9999.  -9999.  -30.7813  -31.0843  -9999.  -9999.  -9999.
7.600  -27.3245  -28.5674  -9999.  -9999.  -31.1911  -31.4940  -9999.  -9999.  -9999.
7.700  -27.4709  -28.7081  -9999.  -9999.  -31.5890  -31.8919  -9999.  -9999.  -9999.
7.800  -27.6180  -28.8496  -9999.  -9999.  -31.9769  -32.2798  -9999.  -9999.  -9999.
7.900  -27.7657  -28.9919  -9999.  -9999.  -32.3569  -32.6597  -9999.  -9999.  -9999.
8.000  -27.9140  -29.1350  -9999.  -9999.  -32.7306  -33.0334  -9999.  -9999.  -9999.
