# Thu Apr  6 21:49:49 2023
#
# Cooling Map File
#
# Loop values:
# hden -2.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -21.7077  -23.7103  -26.3985  -26.6927  -30.9459  -31.2335  -28.5559  -29.5366  -29.5302
3.100  -21.7176  -23.7500  -26.4517  -26.7458  -30.7574  -31.0450  -28.4072  -29.5514  -29.5455
3.200  -21.7299  -23.7923  -26.4738  -26.7679  -30.5731  -30.8607  -28.3027  -29.5530  -29.5476
3.300  -21.7444  -23.8371  -26.4620  -26.7561  -30.3942  -30.6819  -28.2225  -29.5390  -29.5340
3.400  -21.7612  -23.8845  -26.4193  -26.7134  -30.2247  -30.5123  -28.1558  -29.5101  -29.5059
3.500  -21.7803  -23.9346  -26.3509  -26.6451  -30.0724  -30.3601  -28.0972  -29.4694  -29.4660
3.600  -21.8017  -23.9872  -26.2631  -26.5572  -29.9456  -30.2332  -28.0441  -29.3995  -29.4040
3.700  -23.3385  -24.3183  -26.2043  -26.4863  -29.8914  -30.1791  -28.0142  -28.8920  -28.9988
3.800  -23.4097  -24.4404  -26.0954  -26.3756  -29.8185  -30.1061  -27.9668  -27.6711  -27.8391
3.900  -23.4819  -24.5355  -25.9831  -26.2610  -29.7635  -30.0511  -27.9254  -26.6161  -26.7903
4.000  -23.5305  -24.5130  -25.8648  -26.1406  -29.7111  -29.9987  -27.8922  -25.7748  -25.9519
4.100  -23.4272  -24.5847  -25.7255  -26.0019  -29.6291  -29.9155  -27.8850  -25.1033  -25.2836
4.200  -23.0063  -24.4970  -25.5487  -25.8319  -29.4034  -29.6860  -27.9472  -24.5788  -24.7625
4.300  -22.5957  -24.2279  -25.3796  -25.6711  -28.9425  -29.2234  -28.1184  -24.2021  -24.3884
4.400  -22.4908  -24.1190  -25.2743  -25.5705  -28.4610  -28.7448  -28.3758  -23.9733  -24.1614
4.500  -22.6140  -24.2066  -25.1443  -25.4425  -28.1619  -28.4497  -28.5773  -23.7598  -23.9500
4.600  -22.8021  -24.3624  -24.8443  -25.1434  -28.0613  -28.3521  -28.5630  -23.3896  -23.5822
4.700  -22.9904  -24.5390  -24.4671  -24.7667  -27.9497  -28.2434  -28.4283  -23.0667  -23.2611
4.800  -23.1578  -24.7087  -23.8390  -24.1383  -27.6479  -27.9444  -28.0192  -22.8947  -23.0899
4.900  -23.3077  -24.8607  -23.0238  -23.3223  -27.0421  -27.3407  -27.4379  -22.8312  -23.0274
5.000  -23.4546  -25.0041  -22.4385  -22.7380  -26.3844  -26.6842  -27.0634  -22.9712  -23.1685
5.100  -23.6027  -25.1493  -22.4614  -22.7612  -25.7749  -26.0758  -27.2825  -23.6354  -23.8338
5.200  -23.7487  -25.2938  -22.9205  -23.2218  -24.6463  -24.9480  -27.9257  -24.6596  -24.8592
5.300  -23.8893  -25.4354  -23.4153  -23.7172  -23.3735  -23.6763  -28.5912  -25.6491  -25.8500
5.400  -24.0262  -25.5749  -23.8569  -24.1591  -22.5045  -22.8070  -29.1933  -26.5255  -26.7278
5.500  -24.1763  -25.7158  -24.2397  -24.5415  -22.2789  -22.5818  -29.7296  -27.3073  -27.5110
5.600  -24.3492  -25.8606  -24.5626  -24.8643  -22.6105  -22.9136  -30.2008  -28.0069  -28.2120
5.700  -24.5173  -26.0027  -24.8124  -25.1144  -23.0426  -23.3456  -30.5945  -28.6042  -28.8099
5.800  -24.6807  -26.1422  -24.9973  -25.2993  -23.4374  -23.7404  -30.9194  -29.1031  -29.3076
5.900  -24.8399  -26.2795  -25.2123  -25.5152  -23.7711  -24.0739  -31.2724  -29.6266  -29.8288
6.000  -24.9953  -26.4149  -25.5526  -25.8553  -24.0236  -24.3260  -31.7477  -30.2554  -30.4541
6.100  -25.1474  -26.5489  -26.0647  -26.3670  -24.1897  -24.4916  -32.3923  -31.0251  -31.2194
6.200  -25.2967  -26.6818  -26.7168  -27.0186  -24.3301  -24.6317  -33.1746  -31.9369  -32.1240
6.300  -25.4437  -26.8139  -27.4015  -27.7033  -24.5462  -24.8490  -33.9877  -32.8656  -33.0424
6.400  -25.5887  -26.9457  -28.0619  -28.3637  -24.9222  -25.2250  -34.7746  -33.7356  -33.9007
6.500  -25.7324  -27.0772  -28.6862  -28.9879  -25.4679  -25.7707  -35.5232  -34.5771  -34.7243
6.600  -25.8749  -27.2090  -29.2753  -29.5776  -26.0953  -26.3982  -36.2353  -9999.  -9999.
6.700  -26.0168  -27.3412  -29.8341  -30.1368  -26.7251  -27.0282  -36.9154  -9999.  -9999.
6.800  -26.1582  -27.4739  -30.3665  -30.6696  -27.3278  -27.6310  -37.5681  -9999.  -9999.
6.900  -26.2993  -27.6073  -30.8762  -31.1797  -27.8979  -28.2009  -38.1973  -9999.  -9999.
7.000  -26.4403  -27.7415  -31.3669  -31.6703  -28.4367  -28.7396  -38.8062  -9999.  -9999.
7.100  -26.5814  -27.8766  -31.8409  -32.1441  -28.9472  -29.2500  -39.3979  -9999.  -9999.
7.200  -26.7226  -28.0126  -32.3009  -32.6041  -29.4326  -29.7355  -39.9750  -9999.  -9999.
7.300  -26.8639  -28.1495  -32.7494  -33.0524  -29.8953  -30.1982  -40.5402  -9999.  -9999.
7.400  -27.0055  -28.2874  -9999.  -9999.  -30.3385  -30.6413  -9999.  -9999.  -9999.
7.500  -27.1473  -28.4262  -9999.  -9999.  -30.7644  -31.0673  -9999.  -9999.  -9999.
7.600  -27.2892  -28.5660  -9999.  -9999.  -31.1758  -31.4786  -9999.  -9999.  -9999.
7.700  -27.4313  -28.7067  -9999.  -9999.  -31.5746  -31.8774  -9999.  -9999.  -9999.
7.800  -27.5735  -28.8482  -9999.  -9999.  -31.9631  -32.2659  -9999.  -9999.  -9999.
7.900  -27.7157  -28.9906  -9999.  -9999.  -32.3434  -32.6461  -9999.  -9999.  -9999.
8.000  -27.8580  -29.1337  -9999.  -9999.  -32.7171  -33.0198  -9999.  -9999.  -9999.
