# Thu Apr  6 22:57:04 2023
#
# Cooling Map File
#
# Loop values:
# hden -1
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -22.6427  -24.6452  -29.4633  -29.7575  -9999.  -9999.  -30.5930  -32.0724  -32.0665
3.100  -22.6190  -24.6513  -29.5213  -29.8154  -9999.  -9999.  -30.4324  -32.0984  -32.0931
3.200  -22.5965  -24.6588  -29.5559  -29.8501  -9999.  -9999.  -30.3233  -32.1105  -32.1057
3.300  -22.5751  -24.6678  -29.5658  -29.8599  -9999.  -9999.  -30.2470  -32.1058  -32.1015
3.400  -22.5550  -24.6784  -29.5538  -29.8480  -9999.  -9999.  -30.1928  -32.0850  -32.0816
3.500  -22.5365  -24.6907  -29.5244  -29.8185  -9999.  -9999.  -30.1544  -32.0491  -32.0473
3.600  -22.5195  -24.7049  -29.4812  -29.7753  -9999.  -9999.  -30.1269  -31.7755  -31.8367
3.700  -26.2109  -27.4967  -28.3519  -28.5640  -9999.  -9999.  -30.1943  -32.1190  -32.1660
3.800  -26.2101  -27.5056  -28.3071  -28.5209  -9999.  -9999.  -30.1878  -30.7607  -30.9261
3.900  -26.0332  -27.4834  -28.2570  -28.4716  -9999.  -9999.  -30.1824  -29.6864  -29.8601
4.000  -25.0864  -26.9259  -28.2057  -28.4252  -9999.  -9999.  -30.1815  -28.8324  -29.0092
4.100  -23.5886  -25.3350  -28.3578  -28.6309  -9999.  -9999.  -30.2168  -28.1527  -28.3342
4.200  -22.3147  -23.9150  -28.1969  -28.4923  -9999.  -9999.  -30.3282  -27.5663  -27.7519
4.300  -22.3674  -23.8562  -27.8686  -28.1660  -9999.  -9999.  -30.4566  -26.5211  -26.7095
4.400  -22.7314  -24.1189  -27.6003  -27.8988  -9999.  -9999.  -30.6213  -25.1344  -25.3248
4.500  -22.8367  -24.1792  -27.2190  -27.5182  -9999.  -9999.  -30.6064  -24.0670  -24.2597
4.600  -22.9719  -24.3060  -26.4591  -26.7589  -9999.  -9999.  -30.1494  -23.3979  -23.5932
4.700  -23.1011  -24.4873  -25.1882  -25.4884  -9999.  -9999.  -29.1298  -23.0535  -23.2508
4.800  -23.2504  -24.7101  -23.9711  -24.2713  -9999.  -9999.  -28.1372  -22.8833  -23.0819
4.900  -23.3870  -24.8625  -23.0103  -23.3112  -28.6210  -28.9196  -27.4172  -22.8214  -23.0213
5.000  -23.5192  -25.0055  -22.4160  -22.7180  -27.8780  -28.1778  -27.0386  -22.9720  -23.1733
5.100  -23.6583  -25.1570  -22.4588  -22.7610  -26.5471  -26.8480  -27.2771  -23.6483  -23.8508
5.200  -23.7944  -25.3041  -22.9293  -23.2319  -24.7489  -25.0506  -27.9283  -24.6753  -24.8790
5.300  -23.9227  -25.4426  -23.4272  -23.7296  -23.3841  -23.6870  -28.5955  -25.6616  -25.8668
5.400  -24.0510  -25.5796  -23.8692  -24.1716  -22.5037  -22.8063  -29.1978  -26.5345  -26.7415
5.500  -24.1924  -25.7165  -24.2525  -24.5545  -22.2775  -22.5806  -29.7346  -27.3147  -27.5235
5.600  -24.3616  -25.8597  -24.5743  -24.8761  -22.6108  -22.9140  -30.2046  -28.0120  -28.2229
5.700  -24.5299  -26.0028  -24.8226  -25.1247  -23.0439  -23.3469  -30.5966  -28.6069  -28.8190
5.800  -24.6935  -26.1428  -25.0073  -25.3095  -23.4392  -23.7423  -30.9213  -29.1050  -29.3164
5.900  -24.8525  -26.2799  -25.2237  -25.5267  -23.7729  -24.0758  -31.2754  -29.6293  -29.8390
6.000  -25.0081  -26.4153  -25.5657  -25.8685  -24.0250  -24.3274  -31.7521  -30.2596  -30.4664
6.100  -25.1607  -26.5494  -26.0787  -26.3811  -24.1909  -24.4928  -32.3972  -31.0303  -31.2333
6.200  -25.3108  -26.6823  -26.7301  -27.0321  -24.3313  -24.6329  -33.1783  -31.9407  -32.1369
6.300  -25.4587  -26.8144  -27.4138  -27.7158  -24.5476  -24.8505  -33.9900  -32.8655  -33.0521
6.400  -25.6048  -26.9461  -28.0743  -28.3762  -24.9242  -25.2269  -34.7764  -33.7341  -33.9095
6.500  -25.7498  -27.0776  -28.6986  -29.0005  -25.4703  -25.7731  -35.5244  -34.5744  -34.7325
6.600  -25.8939  -27.2094  -29.2881  -29.5906  -26.0978  -26.4008  -36.2361  -9999.  -9999.
6.700  -26.0375  -27.3416  -29.8474  -30.1504  -26.7275  -27.0306  -36.9160  -9999.  -9999.
6.800  -26.1808  -27.4743  -30.3806  -30.6840  -27.3300  -27.6332  -37.5686  -9999.  -9999.
6.900  -26.3241  -27.6077  -30.8912  -31.1951  -27.9000  -28.2030  -38.1976  -9999.  -9999.
