# Mon Aug 25 13:55:39 2014
#
# Cooling Map File
#
# Loop values:
# hden -0.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -23.7623  -24.7320  -304.6526  -304.6526  -304.6526  -304.6526  -32.9395  -304.6526  -304.6526  -304.6526  -32.1760  -304.6526  -304.6526  -304.6526  -44.4507  -44.6956
3.10  -23.7820  -24.7584  -304.6526  -304.6526  -304.6526  -304.6526  -32.7213  -304.6526  -304.6526  -304.6526  -32.0644  -304.6526  -304.6526  -304.6526  -39.8566  -40.1133
3.20  -23.8036  -24.7872  -53.4598  -53.7194  -304.6526  -304.6526  -32.5759  -304.6526  -304.6526  -304.6526  -31.9818  -304.6526  -304.6526  -304.6526  -36.2061  -36.4721
3.30  -23.8271  -24.8187  -48.2410  -48.5092  -304.6526  -304.6526  -32.4857  -304.6526  -304.6526  -304.6526  -31.9150  -304.6526  -48.9712  -49.1313  -33.3047  -33.5781
3.40  -23.8528  -24.8529  -44.0976  -44.3727  -304.6526  -304.6526  -32.4376  -36.9937  -37.1787  -304.6526  -31.8571  -304.6526  -44.3557  -44.5455  -30.9998  -31.2792
3.50  -23.8809  -24.8901  -40.8086  -41.0892  -304.6526  -304.6526  -32.4212  -34.3079  -34.4929  -304.6526  -31.8063  -36.7186  -40.6926  -40.9060  -29.1719  -29.4560
3.60  -23.9115  -24.9303  -38.1986  -38.4836  -304.6526  -304.6526  -32.4287  -32.1654  -32.3505  -30.9322  -31.7632  -34.0551  -37.7865  -38.0186  -27.7258  -28.0136
3.70  -23.9447  -24.9738  -36.1281  -36.4166  -304.6526  -304.6526  -32.4536  -30.4587  -30.6437  -29.1782  -31.7287  -31.7430  -35.4822  -35.7292  -26.5851  -26.8758
3.80  -23.9837  -25.0277  -34.4866  -34.7778  -304.6526  -304.6526  -32.4913  -29.1084  -29.2934  -27.7914  -31.7034  -29.8709  -33.6561  -33.9150  -25.6888  -25.9819
3.90  -24.0109  -25.0833  -33.1849  -33.4782  -304.6526  -304.6526  -32.5367  -28.0401  -28.2251  -26.6977  -30.3511  -28.3808  -32.2100  -32.4782  -24.9871  -25.2821
4.00  -23.8130  -25.1115  -32.1521  -32.4471  -304.6526  -304.6526  -29.2422  -27.1955  -27.3805  -25.8385  -28.6590  -27.2005  -31.0646  -31.3402  -24.4363  -24.7328
4.10  -23.0756  -24.8073  -31.3211  -31.6175  -304.6526  -304.6526  -27.9079  -26.5238  -26.7087  -25.1639  -27.2795  -26.2527  -30.1270  -30.4086  -23.9990  -24.2966
4.20  -22.3445  -24.0876  -30.5021  -30.7997  -304.6526  -304.6526  -26.8391  -25.9856  -26.1705  -24.6065  -25.9786  -25.3050  -29.0339  -29.3202  -23.6912  -23.9897
4.30  -22.1616  -23.8115  -29.3661  -29.6645  -304.6526  -304.6526  -25.9623  -25.5347  -25.7195  -24.3309  -24.5921  -24.2088  -27.2908  -27.5808  -23.8699  -24.1692
4.40  -22.3615  -23.9355  -28.3989  -28.6980  -304.6526  -304.6526  -24.9690  -24.8842  -25.0689  -24.5647  -23.8106  -23.6681  -25.9548  -26.2478  -24.4497  -24.7495
4.50  -22.5892  -24.1105  -27.6743  -27.9739  -304.6526  -304.6526  -23.8231  -24.0151  -24.1998  -24.6846  -23.3788  -23.4377  -24.7345  -25.0299  -25.0091  -25.3094
4.60  -22.8054  -24.2916  -26.7329  -27.0330  -304.6526  -304.6526  -22.9802  -23.3969  -23.5816  -24.6985  -23.0986  -23.3238  -23.9558  -24.2531  -25.4972  -25.7979
4.70  -23.0069  -24.4715  -25.2698  -25.5702  -304.6526  -304.6526  -22.4552  -23.0550  -23.2396  -24.7999  -22.9255  -23.2810  -23.4693  -23.7680  -25.9197  -26.2207
4.80  -23.1899  -24.6432  -24.0300  -24.3306  -304.6526  -304.6526  -22.1390  -22.8887  -23.0733  -25.0315  -22.8646  -23.3304  -23.0752  -23.3751  -26.2719  -26.5732
4.90  -23.3505  -24.7998  -23.0672  -23.3681  -29.1079  -29.4072  -21.9524  -22.8257  -23.0103  -25.5094  -23.0519  -23.6120  -22.9103  -23.2112  -26.5229  -26.8244
5.00  -23.4994  -24.9515  -22.4274  -22.7285  -28.2984  -28.5985  -21.9665  -22.9424  -23.1269  -26.5881  -23.8518  -24.4935  -23.2854  -23.5870  -26.6869  -26.9885
5.10  -23.6473  -25.1053  -22.3764  -22.6776  -26.6223  -26.9231  -22.4729  -23.5345  -23.7189  -27.8546  -24.8587  -25.5718  -23.8657  -24.1679  -26.8968  -27.1985
5.20  -23.7930  -25.2578  -22.8064  -23.1077  -24.7692  -25.0706  -23.3842  -24.5181  -24.7025  -28.9806  -25.7423  -26.5186  -24.3656  -24.6683  -27.2445  -27.5463
