# Mon Aug 25 14:04:50 2014
#
# Cooling Map File
#
# Loop values:
# hden 0.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -24.6482  -25.6180  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -33.7288  -306.6526  -306.6526  -306.6526  -45.0493  -45.2942
3.10  -24.6592  -25.6357  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -33.6204  -306.6526  -306.6526  -306.6526  -40.4164  -40.6731
3.20  -24.6713  -25.6551  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -33.5407  -306.6526  -306.6526  -306.6526  -36.7196  -36.9857
3.30  -24.6847  -25.6764  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -33.4765  -306.6526  -50.5324  -50.6925  -33.7740  -34.0475
3.40  -24.6994  -25.6996  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -38.1912  -38.3763  -306.6526  -33.4212  -306.6526  -45.9195  -46.1093  -31.4369  -31.7163
3.50  -24.7155  -25.7248  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -35.5039  -35.6889  -33.5708  -33.3728  -37.9820  -42.2588  -42.4721  -29.5895  -29.8736
3.60  -24.7332  -25.7522  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -33.3654  -33.5504  -31.3483  -33.3320  -35.1154  -39.3551  -39.5872  -28.1314  -28.4191
3.70  -24.7525  -25.7817  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -31.6665  -31.8515  -29.5867  -33.2999  -32.7572  -37.0531  -37.3001  -26.9812  -27.2719
3.80  -24.7754  -25.8203  -306.6526  -306.6526  -306.6526  -306.6526  -306.6526  -30.3370  -30.5220  -28.1915  -33.0821  -30.8749  -35.2299  -35.4887  -26.0757  -26.3688
3.90  -24.7444  -25.8575  -306.6526  -306.6526  -306.6526  -306.6526  -32.1538  -29.2778  -29.4628  -27.0877  -31.3660  -29.3807  -33.7871  -34.0553  -25.3643  -25.6592
4.00  -24.1893  -25.7836  -306.6526  -306.6526  -306.6526  -306.6526  -30.4732  -28.4263  -28.6113  -26.2153  -29.6530  -28.1942  -32.6450  -32.9207  -24.8018  -25.0982
4.10  -23.1964  -25.0556  -306.6526  -306.6526  -306.6526  -306.6526  -29.1021  -27.7180  -27.9028  -25.4978  -28.2078  -27.1810  -31.6886  -31.9702  -24.3254  -24.6230
4.20  -22.2760  -24.0340  -306.6526  -306.6526  -306.6526  -306.6526  -27.8865  -27.0331  -27.2179  -24.6972  -26.3580  -25.6843  -30.3182  -30.6045  -23.7850  -24.0835
4.30  -22.1350  -23.7870  -30.4570  -30.7554  -306.6526  -306.6526  -26.7061  -26.2786  -26.4633  -24.3234  -24.6237  -24.2405  -28.2217  -28.5118  -23.8758  -24.1750
4.40  -22.3606  -23.9353  -29.4524  -29.7514  -306.6526  -306.6526  -25.1318  -25.0470  -25.2318  -24.5667  -23.8161  -23.6736  -26.3428  -26.6358  -24.4546  -24.7545
4.50  -22.5882  -24.1100  -28.6072  -28.9068  -306.6526  -306.6526  -23.8369  -24.0290  -24.2136  -24.6845  -23.3786  -23.4375  -24.7699  -25.0653  -25.0094  -25.3098
4.60  -22.8047  -24.2912  -26.9364  -27.2365  -306.6526  -306.6526  -22.9815  -23.3982  -23.5828  -24.6984  -23.0985  -23.3237  -23.9566  -24.2539  -25.4967  -25.7974
4.70  -23.0065  -24.4714  -25.2826  -25.5830  -306.6526  -306.6526  -22.4554  -23.0551  -23.2397  -24.7998  -22.9254  -23.2808  -23.4689  -23.7676  -25.9189  -26.2199
4.80  -23.1896  -24.6431  -24.0311  -24.3318  -306.6526  -306.6526  -22.1390  -22.8887  -23.0733  -25.0312  -22.8643  -23.3301  -23.0746  -23.3745  -26.2707  -26.5719
4.90  -23.3503  -24.7998  -23.0674  -23.3683  -306.6526  -306.6526  -21.9524  -22.8257  -23.0102  -25.5088  -23.0513  -23.6115  -22.9097  -23.2106  -26.5216  -26.8230
5.00  -23.4992  -24.9515  -22.4273  -22.7284  -28.9438  -29.2439  -21.9665  -22.9423  -23.1268  -26.5877  -23.8514  -24.4931  -23.2850  -23.5866  -26.6860  -26.9875
5.10  -23.6471  -25.1053  -22.3763  -22.6775  -26.6472  -26.9480  -22.4728  -23.5344  -23.7188  -27.8543  -24.8584  -25.5715  -23.8654  -24.1676  -26.8963  -27.1980
5.20  -23.7929  -25.2578  -22.8063  -23.1077  -24.7703  -25.0717  -23.3842  -24.5181  -24.7025  -28.9804  -25.7421  -26.5184  -24.3654  -24.6681  -27.2443  -27.5461
5.30  -23.9338  -25.4068  -23.2978  -23.5992  -23.3969  -23.6986  -24.2966  -25.4921  -25.6765  -29.9070  -26.4430  -27.2759  -24.7236  -25.0266  -27.7425  -28.0444
5.40  -24.0713  -25.5523  -23.7399  -24.0413  -22.5242  -22.8263  -25.1117  -26.3602  -26.5445  -30.6604  -26.9858  -27.8703  -24.9583  -25.2616  -28.4148  -28.7167
5.50  -24.2215  -25.6972  -24.1238  -24.4253  -22.3768  -22.6791  -25.8302  -27.1248  -27.3091  -31.3671  -27.4952  -28.4273  -25.1890  -25.4926  -29.2403  -29.5422
5.60  -24.3934  -25.8434  -24.4483  -24.7499  -22.7683  -23.0709  -26.4579  -27.7933  -27.9775  -32.1681  -28.1106  -29.0872  -25.5509  -25.8547  -30.2326  -30.5346
5.70  -24.5601  -25.9854  -24.6986  -25.0003  -23.2190  -23.5217  -26.9851  -28.3569  -28.5412  -33.1331  -28.9000  -29.9190  -26.1088  -26.4127  -31.4265  -31.7286
5.80  -24.7218  -26.1235  -24.8762  -25.1778  -23.6222  -23.9251  -27.4166  -28.8214  -29.0056  -34.2660  -29.8655  -30.9256  -26.8619  -27.1659  -306.6526  -306.6526
5.90  -24.8791  -26.2582  -25.0669  -25.3685  -23.9617  -24.2647  -27.8405  -29.2756  -29.4597  -35.5561  -30.9951  -32.0955  -27.7954  -28.0995  -306.6526  -306.6526
6.00  -25.0324  -26.3898  -25.3777  -25.6794  -24.2186  -24.5217  -28.3651  -29.8282  -30.0123  -37.0294  -32.3083  -33.4492  -28.9270  -29.2312  -306.6526  -306.6526
