# Mon Aug 25 14:09:26 2014
#
# Cooling Map File
#
# Loop values:
# hden 1
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -25.1249  -26.0948  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -34.4923  -307.6527  -307.6527  -307.6527  -45.3915  -45.6364
3.10  -25.1341  -26.1107  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -34.3845  -307.6527  -307.6527  -307.6527  -40.7250  -40.9817
3.20  -25.1442  -26.1281  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -34.3052  -307.6527  -307.6527  -307.6527  -36.9944  -37.2604
3.30  -25.1555  -26.1472  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -34.2415  -307.6527  -51.2970  -51.4571  -34.0247  -34.2982
3.40  -25.1678  -26.1681  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -38.8779  -39.0629  -307.6527  -34.1864  -307.6527  -46.6844  -46.8742  -31.6754  -31.9547
3.50  -25.1814  -26.1908  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -36.1885  -36.3735  -33.8061  -34.1383  -38.5461  -43.0240  -43.2374  -29.8228  -30.1068
3.60  -25.1963  -26.2154  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -34.0528  -34.2378  -31.5819  -34.0979  -35.6270  -40.1207  -40.3528  -28.3620  -28.6498
3.70  -25.2126  -26.2420  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -32.3600  -32.5450  -29.8184  -34.0663  -33.2605  -37.8192  -38.0662  -27.2099  -27.5006
3.80  -25.2310  -26.2771  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -31.0458  -31.2308  -28.4215  -33.7335  -31.3765  -35.9967  -36.2555  -26.3025  -26.5956
3.90  -25.1524  -26.3081  -307.6527  -307.6527  -307.6527  -307.6527  -32.8697  -29.9937  -30.1787  -27.3157  -31.8695  -29.8816  -34.5546  -34.8229  -25.5890  -25.8839
4.00  -24.4121  -26.1494  -307.6527  -307.6527  -307.6527  -307.6527  -31.1839  -29.1370  -29.3220  -26.4399  -30.1515  -28.6926  -33.4127  -33.6884  -25.0233  -25.3197
4.10  -23.3373  -25.2206  -307.6527  -307.6527  -307.6527  -307.6527  -29.7626  -28.3785  -28.5634  -25.6869  -28.6386  -27.6119  -32.4260  -32.7076  -24.5116  -24.8092
4.20  -22.2733  -24.0333  -307.6527  -307.6527  -307.6527  -307.6527  -28.3883  -27.5348  -27.7196  -24.7160  -26.4199  -25.7462  -30.8613  -31.1476  -23.8037  -24.1022
4.30  -22.1322  -23.7852  -307.6527  -307.6527  -307.6527  -307.6527  -26.8996  -26.4720  -26.6567  -24.3230  -24.6266  -24.2434  -28.5941  -28.8842  -23.8763  -24.1756
4.40  -22.3599  -23.9354  -29.9566  -30.2557  -307.6527  -307.6527  -25.1484  -25.0636  -25.2483  -24.5670  -23.8168  -23.6743  -26.3944  -26.6874  -24.4550  -24.7548
4.50  -22.5875  -24.1100  -28.9586  -29.2582  -307.6527  -307.6527  -23.8379  -24.0300  -24.2147  -24.6845  -23.3787  -23.4377  -24.7709  -25.0663  -25.0093  -25.3097
4.60  -22.8041  -24.2913  -26.9565  -27.2566  -307.6527  -307.6527  -22.9817  -23.3984  -23.5830  -24.6985  -23.0986  -23.3239  -23.9564  -24.2536  -25.4966  -25.7973
4.70  -23.0060  -24.4715  -25.2836  -25.5840  -307.6527  -307.6527  -22.4555  -23.0552  -23.2398  -24.7999  -22.9255  -23.2810  -23.4689  -23.7676  -25.9188  -26.2198
4.80  -23.1893  -24.6432  -24.0313  -24.3320  -307.6527  -307.6527  -22.1391  -22.8888  -23.0734  -25.0313  -22.8643  -23.3302  -23.0747  -23.3746  -26.2706  -26.5718
4.90  -23.3500  -24.7999  -23.0675  -23.3684  -307.6527  -307.6527  -21.9525  -22.8258  -23.0103  -25.5089  -23.0514  -23.6116  -22.9098  -23.2107  -26.5215  -26.8230
5.00  -23.4989  -24.9516  -22.4274  -22.7285  -29.0745  -29.3746  -21.9666  -22.9424  -23.1269  -26.5877  -23.8514  -24.4932  -23.2851  -23.5867  -26.6860  -26.9875
5.10  -23.6469  -25.1054  -22.3763  -22.6776  -26.6493  -26.9500  -22.4729  -23.5345  -23.7189  -27.8544  -24.8584  -25.5716  -23.8654  -24.1676  -26.8964  -27.1981
5.20  -23.7927  -25.2579  -22.8064  -23.1077  -24.7705  -25.0719  -23.3842  -24.5181  -24.7025  -28.9805  -25.7421  -26.5184  -24.3654  -24.6681  -27.2444  -27.5462
5.30  -23.9337  -25.4069  -23.2979  -23.5993  -23.3970  -23.6987  -24.2967  -25.4922  -25.6765  -29.9071  -26.4431  -27.2760  -24.7237  -25.0267  -27.7426  -28.0445
5.40  -24.0712  -25.5524  -23.7399  -24.0414  -22.5243  -22.8264  -25.1118  -26.3603  -26.5446  -30.6605  -26.9859  -27.8704  -24.9584  -25.2617  -28.4149  -28.7168
5.50  -24.2214  -25.6973  -24.1238  -24.4254  -22.3769  -22.6792  -25.8303  -27.1249  -27.3092  -31.3672  -27.4953  -28.4274  -25.1891  -25.4927  -29.2404  -29.5423
5.60  -24.3933  -25.8435  -24.4484  -24.7499  -22.7684  -23.0709  -26.4580  -27.7934  -27.9776  -32.1682  -28.1107  -29.0873  -25.5510  -25.8548  -30.2327  -30.5347
5.70  -24.5600  -25.9855  -24.6987  -25.0003  -23.2191  -23.5218  -26.9852  -28.3570  -28.5413  -33.1332  -28.9001  -29.9191  -26.1089  -26.4128  -31.4266  -31.7287
5.80  -24.7217  -26.1236  -24.8763  -25.1779  -23.6223  -23.9252  -27.4167  -28.8215  -29.0057  -34.2661  -29.8656  -30.9257  -26.8620  -27.1660  -307.6527  -307.6527
5.90  -24.8791  -26.2583  -25.0670  -25.3686  -23.9618  -24.2648  -27.8406  -29.2757  -29.4598  -35.5561  -30.9952  -32.0956  -27.7955  -28.0996  -307.6527  -307.6527
6.00  -25.0323  -26.3899  -25.3778  -25.6794  -24.2187  -24.5218  -28.3652  -29.8283  -30.0124  -37.0369  -32.3084  -33.4493  -28.9271  -29.2313  -307.6527  -307.6527
6.10  -25.1821  -26.5192  -25.8744  -26.1761  -24.3862  -24.6893  -29.0577  -30.5471  -30.7312  -38.6428  -33.8284  -35.0111  -30.2784  -30.5827  -307.6527  -307.6527
6.20  -25.3287  -26.6464  -26.5158  -26.8175  -24.5208  -24.8240  -29.8786  -31.3929  -31.5770  -307.6527  -35.6142  -36.8411  -31.9085  -32.2128  -307.6527  -307.6527
6.30  -25.4729  -26.7722  -27.2004  -27.5021  -24.7245  -25.0278  -30.7289  -32.2671  -32.4511  -307.6527  -38.8405  -307.6527  -33.9673  -34.2716  -307.6527  -307.6527
6.40  -25.6150  -26.8971  -27.8661  -28.1679  -25.0881  -25.3914  -31.5494  -33.1106  -33.2946  -307.6527  -41.0905  -307.6527  -36.2537  -36.5581  -307.6527  -307.6527
6.50  -25.7557  -27.0217  -28.4895  -28.7912  -25.6214  -25.9248  -32.3191  -33.9027  -34.0866  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
6.60  -25.8955  -27.1463  -29.0799  -29.3817  -26.2461  -26.5494  -33.0569  -34.6553  -34.8392  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
6.70  -26.0346  -27.2715  -29.6414  -29.9432  -26.8797  -27.1830  -33.7644  -35.3741  -35.5580  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
6.80  -26.1736  -27.3975  -30.1725  -30.4742  -27.4827  -27.7860  -34.4385  -36.0593  -36.2431  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
6.90  -26.3126  -27.5245  -30.6821  -30.9838  -28.0546  -28.3579  -35.0884  -36.7199  -36.9038  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.00  -26.4519  -27.6529  -31.1732  -31.4749  -28.5958  -28.8992  -35.7183  -37.3603  -37.5441  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.10  -26.5918  -27.7827  -31.6486  -31.9503  -29.1052  -29.4086  -36.3329  -37.9852  -38.1690  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.20  -26.7324  -27.9141  -32.1082  -32.4099  -29.5900  -29.8933  -36.9469  -38.6095  -38.7933  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.30  -26.8738  -28.0470  -32.5569  -32.8587  -30.0530  -30.3564  -40.3394  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.40  -27.0161  -28.1814  -32.9969  -33.2986  -30.4967  -30.8001  -38.0476  -39.7303  -39.9140  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.50  -27.1592  -28.3175  -33.4289  -33.7306  -30.9216  -31.2250  -41.4421  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.60  -27.3032  -28.4549  -33.8558  -34.1576  -31.3322  -31.6356  -41.9835  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.70  -27.4481  -28.5938  -34.2791  -34.5808  -31.7306  -32.0340  -42.5208  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.80  -27.5895  -28.7297  -34.6953  -34.9971  -32.1138  -32.4172  -43.0507  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
7.90  -27.7404  -28.8754  -35.1188  -35.4205  -32.4975  -32.8009  -43.5873  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
8.00  -27.8877  -29.0179  -35.5377  -35.8395  -32.8704  -33.1738  -44.1190  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527  -307.6527
