# Mon Aug 25 13:22:43 2014
#
# Cooling Map File
#
# Loop values:
# hden -4
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
3.00  -22.7467  -23.7163  -27.0554  -27.3564  -297.6527  -297.6527  -26.6959  -297.6527  -297.6527  -297.6527  -27.3204  -297.6527  -297.6527  -297.6527  -45.1777  -45.4226
3.10  -22.8180  -23.7944  -27.0588  -27.3599  -297.6527  -297.6527  -26.5313  -297.6527  -297.6527  -297.6527  -27.2462  -297.6527  -297.6527  -297.6527  -40.7212  -40.9779
3.20  -22.8906  -23.8742  -27.0582  -27.3593  -297.6527  -297.6527  -26.4228  -297.6527  -297.6527  -297.6527  -27.2061  -297.6527  -297.6527  -297.6527  -37.2177  -37.4838
3.30  -22.9645  -23.9560  -27.0534  -27.3544  -297.6527  -297.6527  -26.3514  -297.6527  -297.6527  -297.6527  -27.1847  -297.6527  -44.2410  -44.4011  -34.4734  -34.7469
3.40  -23.0397  -24.0398  -27.0448  -27.3458  -47.4101  -47.5813  -26.3061  -34.5909  -34.7759  -297.6527  -27.1755  -297.6527  -39.6742  -39.8640  -32.3338  -32.6132
3.50  -23.1165  -24.1257  -27.0332  -27.3343  -42.3752  -42.5736  -26.2799  -31.9641  -32.1491  -297.6527  -27.1774  -32.5416  -36.0637  -36.2771  -30.6752  -30.9592
3.60  -23.1949  -24.2138  -27.0195  -27.3205  -38.3742  -38.5942  -26.2678  -29.8899  -30.0749  -297.6527  -27.1905  -30.4977  -33.2139  -33.4460  -29.3982  -29.6860
3.70  -23.2751  -24.3041  -27.0035  -27.3045  -35.2020  -35.4392  -26.2660  -28.2558  -28.4408  -30.4751  -27.2136  -28.9035  -30.9671  -31.2141  -28.4235  -28.7143
3.80  -23.3602  -24.4038  -26.9648  -27.2654  -32.6946  -32.9454  -26.2715  -26.9727  -27.1577  -29.2546  -27.2449  -27.6707  -29.1977  -29.4565  -27.6884  -27.9815
3.90  -23.4466  -24.5048  -26.6484  -26.9454  -30.7167  -30.9783  -26.2825  -25.9746  -26.1596  -28.3352  -27.2841  -26.7274  -27.8074  -28.0757  -27.1439  -27.4388
4.00  -23.5342  -24.6069  -25.8332  -26.1287  -29.1530  -29.4232  -26.3014  -25.2048  -25.3897  -27.6520  -27.3364  -26.0099  -26.7241  -26.9998  -26.7518  -27.0482
4.10  -23.6216  -24.7104  -25.0321  -25.3286  -27.9090  -28.1860  -26.3415  -24.6091  -24.7940  -27.1289  -26.4307  -25.4511  -25.9032  -26.1848  -26.4820  -26.7796
4.20  -23.6976  -24.8122  -24.4225  -24.7201  -26.9165  -27.1989  -24.9796  -24.1418  -24.3267  -26.6712  -25.6588  -24.9906  -25.3247  -25.6110  -26.3114  -26.6100
4.30  -23.7266  -24.8981  -24.0049  -24.3033  -26.1393  -26.4261  -24.1962  -23.7704  -23.9552  -26.2388  -25.0080  -24.6255  -24.9599  -25.2499  -26.2296  -26.5289
4.40  -23.6597  -24.9283  -23.7313  -24.0304  -25.5655  -25.8557  -23.5689  -23.4844  -23.6691  -25.8805  -24.5211  -24.3787  -24.7466  -25.0396  -26.2610  -26.5609
4.50  -23.5186  -24.8808  -23.5441  -23.8438  -25.1824  -25.4753  -23.0850  -23.2771  -23.4619  -25.6675  -24.1863  -24.2452  -24.6226  -24.9180  -26.4804  -26.7808
4.60  -23.3925  -24.8031  -23.4028  -23.7029  -24.9597  -25.2547  -22.7186  -23.1353  -23.3200  -25.6477  -23.9885  -24.2137  -24.5476  -24.8448  -26.9122  -27.2129
4.70  -23.3433  -24.7705  -23.2788  -23.5793  -24.8498  -25.1466  -22.4412  -23.0410  -23.2256  -25.8246  -23.9264  -24.2818  -24.4586  -24.7573  -27.4217  -27.7227
4.80  -23.3754  -24.8083  -23.1307  -23.4314  -24.7891  -25.0872  -22.2349  -22.9846  -23.1692  -26.1830  -24.0050  -24.4708  -24.2852  -24.5851  -27.8564  -28.1577
4.90  -23.4625  -24.8994  -22.8710  -23.1719  -24.6893  -24.9885  -22.1221  -22.9954  -23.1799  -26.7153  -24.2502  -24.8104  -24.1144  -24.4152  -28.0613  -28.3628
