# Thu Apr  6 23:23:57 2023
#
# Cooling Map File
#
# Loop values:
# hden -0.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -23.0813  -25.0838  -30.3621  -30.6562  -9999.  -9999.  -31.2116  -32.9163  -32.9105
3.100  -23.0529  -25.0852  -30.4141  -30.7083  -9999.  -9999.  -31.0429  -32.9397  -32.9345
3.200  -23.0253  -25.0877  -30.4451  -30.7392  -9999.  -9999.  -30.9276  -32.9498  -32.9450
3.300  -22.9984  -25.0912  -30.4537  -30.7478  -9999.  -9999.  -30.8473  -32.9437  -32.9395
3.400  -22.9725  -25.0958  -30.4431  -30.7373  -9999.  -9999.  -30.7916  -32.9225  -32.9191
3.500  -22.9475  -25.1017  -30.4180  -30.7122  -9999.  -9999.  -30.7544  -32.8852  -32.8842
3.600  -22.9235  -25.1090  -30.3821  -30.6763  -9999.  -9999.  -30.7309  -32.4675  -32.5570
3.700  -27.1749  -28.3581  -29.2123  -29.2860  -9999.  -9999.  -30.7332  -32.8415  -32.9005
3.800  -27.1645  -28.3655  -29.1644  -29.2426  -9999.  -9999.  -30.7272  -31.4843  -31.6507
3.900  -26.7428  -28.3008  -29.1119  -29.1922  -9999.  -9999.  -30.7222  -30.4129  -30.5868
4.000  -25.5172  -27.4102  -29.0385  -29.1478  -9999.  -9999.  -30.7218  -29.5625  -29.7397
4.100  -23.6194  -25.3658  -28.9947  -29.2691  -9999.  -9999.  -30.7755  -28.8989  -29.0809
4.200  -22.3142  -23.9145  -28.5799  -28.8752  -9999.  -9999.  -30.8660  -28.2391  -28.4247
4.300  -22.3701  -23.8546  -28.3495  -28.6469  -9999.  -9999.  -30.9809  -26.6423  -26.8308
4.400  -22.8986  -24.2579  -28.1345  -28.4331  -9999.  -9999.  -31.1591  -25.1427  -25.3331
4.500  -23.0775  -24.5113  -27.8649  -28.1641  -9999.  -9999.  -31.2520  -24.0677  -24.2604
4.600  -23.2169  -24.4989  -26.6676  -26.9674  -9999.  -9999.  -30.3577  -23.3545  -23.5499
4.700  -23.2209  -24.5247  -25.1572  -25.4573  -9999.  -9999.  -29.0985  -23.0220  -23.2196
4.800  -23.3528  -24.7358  -23.9504  -24.2507  -9999.  -9999.  -28.1165  -22.8703  -23.0690
4.900  -23.4755  -24.8985  -22.9975  -23.2985  -9999.  -9999.  -27.4044  -22.8179  -23.0179
5.000  -23.6033  -25.0479  -22.4001  -22.7021  -28.3169  -28.6168  -27.0228  -22.9832  -23.1847
5.100  -23.7344  -25.1983  -22.4635  -22.7657  -26.5688  -26.8698  -27.2818  -23.6857  -23.8886
5.200  -23.8574  -25.3398  -22.9423  -23.2449  -24.7329  -25.0345  -27.9412  -24.7159  -24.9198
5.300  -23.9662  -25.4658  -23.4396  -23.7420  -23.3726  -23.6755  -28.6078  -25.6906  -25.8960
5.400  -24.0889  -25.6020  -23.8816  -24.1840  -22.4977  -22.8004  -29.2101  -26.5578  -26.7649
5.500  -24.2030  -25.7179  -24.2632  -24.5651  -22.2771  -22.5802  -29.7451  -27.3314  -27.5404
5.600  -24.3653  -25.8581  -24.5820  -24.8838  -22.6126  -22.9157  -30.2121  -28.0237  -28.2348
5.700  -24.5331  -26.0022  -24.8283  -25.1304  -23.0464  -23.3494  -30.6021  -28.6158  -28.8281
5.800  -24.6961  -26.1426  -25.0127  -25.3149  -23.4419  -23.7450  -30.9265  -29.1133  -29.3249
5.900  -24.8544  -26.2799  -25.2313  -25.5343  -23.7754  -24.0783  -31.2828  -29.6401  -29.8500
6.000  -25.0096  -26.4154  -25.5740  -25.8768  -24.0270  -24.3294  -31.7602  -30.2715  -30.4785
6.100  -25.1620  -26.5494  -26.0866  -26.3891  -24.1928  -24.4948  -32.4049  -31.0424  -31.2455
6.200  -25.3119  -26.6824  -26.7362  -27.0382  -24.3332  -24.6348  -33.1843  -31.9506  -32.1471
6.300  -25.4595  -26.8145  -27.4178  -27.7198  -24.5497  -24.8526  -33.9938  -32.8710  -33.0578
6.400  -25.6055  -26.9462  -28.0771  -28.3791  -24.9268  -25.2296  -34.7790  -33.7375  -33.9132
6.500  -25.7504  -27.0777  -28.7007  -29.0026  -25.4732  -25.7760  -35.5262  -34.5767  -34.7350
6.600  -25.8944  -27.2094  -29.2896  -29.5921  -26.1006  -26.4036  -36.2373  -9999.  -9999.
6.700  -26.0379  -27.3416  -29.8486  -30.1516  -26.7300  -27.0331  -36.9169  -9999.  -9999.
6.800  -26.1813  -27.4743  -30.3815  -30.6850  -27.3321  -27.6353  -37.5693  -9999.  -9999.
6.900  -26.3246  -27.6077  -30.8920  -31.1959  -27.9018  -28.2048  -38.1981  -9999.  -9999.
7.000  -26.4681  -27.7419  -31.3838  -31.6875  -28.4400  -28.7429  -38.8069  -9999.  -9999.
7.100  -26.6119  -27.8770  -31.8590  -32.1626  -28.9495  -29.2524  -39.3985  -9999.  -9999.
