# Fri Apr  7 01:35:57 2023
#
# Cooling Map File
#
# Loop values:
# hden 0.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -24.0269  -26.0294  -32.1691  -32.4632  -9999.  -9999.  -32.4916  -34.6743  -34.6685
3.100  -23.9943  -26.0266  -32.2065  -32.5006  -9999.  -9999.  -32.3061  -34.6871  -34.6819
3.200  -23.9621  -26.0244  -32.2254  -32.5195  -9999.  -9999.  -32.1766  -34.6876  -34.6829
3.300  -23.9303  -26.0230  -32.2250  -32.5191  -9999.  -9999.  -32.0848  -34.6732  -34.6691
3.400  -23.8989  -26.0222  -32.2092  -32.5033  -9999.  -9999.  -32.0213  -34.6461  -34.6427
3.500  -23.8680  -26.0222  -32.1840  -32.4781  -9999.  -9999.  -31.9811  -34.5946  -34.5973
3.600  -23.8376  -26.0230  -32.1537  -32.4478  -9999.  -9999.  -31.9600  -33.7997  -33.9339
3.700  -29.0614  -30.1108  -31.5452  -31.4659  -9999.  -9999.  -32.1126  -34.4031  -34.5030
3.800  -28.9082  -30.1091  -31.4914  -31.4123  -9999.  -9999.  -32.1067  -33.0504  -33.2196
3.900  -27.7122  -29.6955  -31.4097  -31.3422  -9999.  -9999.  -32.1009  -31.9831  -32.1580
4.000  -26.0129  -27.9425  -31.0291  -31.0217  -9999.  -9999.  -32.1129  -31.1649  -31.3433
4.100  -23.6236  -25.3702  -29.8939  -30.1784  -9999.  -9999.  -32.3619  -30.5086  -30.6908
4.200  -22.3143  -23.9144  -29.1443  -29.4398  -9999.  -9999.  -32.1570  -28.8235  -29.0091
4.300  -22.3492  -23.8372  -29.2692  -29.5663  -9999.  -9999.  -32.2744  -26.6548  -26.8433
4.400  -23.4045  -24.6158  -29.4085  -29.7069  -9999.  -9999.  -32.4605  -25.1389  -25.3293
4.500  -23.7127  -24.8072  -28.8698  -29.1691  -9999.  -9999.  -32.2644  -24.0542  -24.2470
4.600  -23.7602  -25.0668  -26.7105  -27.0096  -9999.  -9999.  -30.4023  -23.2877  -23.4832
4.700  -23.7493  -24.8961  -24.9464  -25.2467  -9999.  -9999.  -28.8874  -22.9371  -23.1348
4.800  -23.8404  -25.0561  -23.8169  -24.1173  -9999.  -9999.  -27.9830  -22.8377  -23.0367
4.900  -23.9572  -25.2243  -22.9142  -23.2152  -9999.  -9999.  -27.3212  -22.8120  -23.0123
5.000  -24.0799  -25.3542  -22.3416  -22.6436  -9999.  -9999.  -26.9644  -23.0263  -23.2285
5.100  -24.1824  -25.5067  -22.4864  -22.7886  -26.5112  -26.8121  -27.3049  -23.9278  -24.1313
5.200  -24.2640  -25.6140  -23.0633  -23.3659  -24.6107  -24.9124  -28.0624  -25.0256  -25.2298
5.300  -24.4332  -25.7815  -23.5722  -23.8746  -23.2713  -23.5742  -28.7405  -26.0213  -26.2267
5.400  -24.4011  -25.8147  -24.0705  -24.3729  -22.4392  -22.7419  -29.3991  -26.9015  -27.1086
5.500  -24.2985  -25.7650  -24.4208  -24.7228  -22.2749  -22.5780  -29.9027  -27.5626  -27.7716
5.600  -24.4127  -25.8634  -24.6764  -24.9782  -22.6349  -22.9381  -30.3066  -28.1638  -28.3749
5.700  -24.5713  -26.0111  -24.9210  -25.2230  -23.0776  -23.3806  -30.6949  -28.7537  -28.9660
5.800  -24.7265  -26.1517  -25.1033  -25.4053  -23.4750  -23.7781  -31.0172  -29.2478  -29.4594
5.900  -24.8689  -26.2805  -25.3250  -25.6280  -23.7996  -24.1025  -31.3767  -29.7768  -29.9868
6.000  -25.0192  -26.4155  -25.6626  -25.9655  -24.0441  -24.3466  -31.8491  -30.4007  -30.6078
6.100  -25.1688  -26.5496  -26.1642  -26.4667  -24.2075  -24.5094  -32.4828  -31.1569  -31.3601
6.200  -25.3175  -26.6832  -26.7919  -27.0939  -24.3490  -24.6505  -33.2402  -32.0310  -32.2276
6.300  -25.4639  -26.8155  -27.4563  -27.7583  -24.5690  -24.8718  -34.0325  -32.9225  -33.1094
6.400  -25.6088  -26.9472  -28.1030  -28.4049  -24.9530  -25.2557  -34.8051  -33.7707  -33.9464
6.500  -25.7526  -27.0785  -28.7176  -29.0195  -25.5021  -25.8048  -35.5434  -34.5984  -34.7569
6.600  -25.8957  -27.2100  -29.3009  -29.6033  -26.1260  -26.4290  -36.2488  -9999.  -9999.
6.700  -26.0386  -27.3420  -29.8568  -30.1598  -26.7521  -27.0552  -36.9254  -9999.  -9999.
6.800  -26.1815  -27.4746  -30.3881  -30.6916  -27.3513  -27.6545  -37.5761  -9999.  -9999.
6.900  -26.3245  -27.6079  -30.8978  -31.2016  -27.9192  -28.2223  -38.2040  -9999.  -9999.
7.000  -26.4678  -27.7421  -31.3887  -31.6925  -28.4531  -28.7561  -38.8120  -9999.  -9999.
7.100  -26.6114  -27.8772  -31.8633  -32.1669  -28.9568  -29.2598  -39.4029  -9999.  -9999.
7.200  -26.7555  -28.0132  -32.3236  -32.6271  -29.4381  -29.7410  -39.9789  -9999.  -9999.
7.300  -26.9002  -28.1501  -32.7727  -33.0761  -29.8996  -30.2025  -40.5432  -9999.  -9999.
7.400  -27.0455  -28.2880  -9999.  -9999.  -30.3422  -30.6451  -9999.  -9999.  -9999.
7.500  -27.1913  -28.4268  -9999.  -9999.  -30.7680  -31.0709  -9999.  -9999.  -9999.
7.600  -27.3378  -28.5666  -9999.  -9999.  -31.1792  -31.4821  -9999.  -9999.  -9999.
7.700  -27.4849  -28.7073  -9999.  -9999.  -31.5781  -31.8810  -9999.  -9999.  -9999.
7.800  -27.6326  -28.8489  -9999.  -9999.  -31.9667  -32.2696  -9999.  -9999.  -9999.
7.900  -27.7809  -28.9913  -9999.  -9999.  -32.3471  -32.6499  -9999.  -9999.  -9999.
8.000  -27.9297  -29.1345  -9999.  -9999.  -32.7210  -33.0239  -9999.  -9999.  -9999.
