# Fri Apr  7 02:01:03 2023
#
# Cooling Map File
#
# Loop values:
# hden 1
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -24.5159  -26.5184  -33.1051  -33.3992  -9999.  -9999.  -33.1720  -35.5965  -35.5907
3.100  -24.4825  -26.5148  -33.1362  -33.4303  -9999.  -9999.  -32.9798  -35.6040  -35.5988
3.200  -24.4493  -26.5116  -33.1494  -33.4435  -9999.  -9999.  -32.8440  -35.5994  -35.5947
3.300  -24.4164  -26.5091  -33.1440  -33.4382  -9999.  -9999.  -32.7469  -35.5804  -35.5762
3.400  -24.3839  -26.5073  -33.1246  -33.4188  -9999.  -9999.  -32.6792  -35.5494  -35.5461
3.500  -24.3518  -26.5061  -33.0979  -33.3920  -9999.  -9999.  -32.6369  -35.4828  -35.4895
3.600  -24.3201  -26.5056  -33.0687  -33.3628  -9999.  -9999.  -32.6162  -34.4761  -34.6235
3.700  -29.9253  -30.9931  -32.8556  -32.7762  -9999.  -9999.  -33.2115  -35.4652  -35.5958
3.800  -29.4862  -30.9682  -32.7989  -32.7204  -9999.  -9999.  -33.2051  -34.1111  -34.2825
3.900  -27.9838  -30.0996  -32.6773  -32.6189  -9999.  -9999.  -33.2015  -33.0468  -33.2223
4.000  -26.0760  -28.0076  -32.4827  -32.5540  -9999.  -9999.  -34.0227  -32.3156  -32.4943
4.100  -23.6233  -25.3699  -30.4957  -30.7873  -9999.  -9999.  -33.4517  -31.5781  -31.7602
4.200  -22.3151  -23.9151  -9999.  -9999.  -9999.  -9999.  -9999.  -28.8139  -28.9995
4.300  -22.3711  -23.8542  -9999.  -9999.  -9999.  -9999.  -9999.  -26.6421  -26.8306
4.400  -23.6585  -24.7483  -9999.  -9999.  -9999.  -9999.  -9999.  -25.1323  -25.3227
4.500  -23.9015  -24.8904  -29.0474  -29.3465  -9999.  -9999.  -32.4593  -24.0459  -24.2386
4.600  -23.9265  -24.9660  -26.7144  -27.0111  -9999.  -9999.  -30.4061  -23.2848  -23.4802
4.700  -23.9793  -25.0590  -24.8658  -25.1661  -9999.  -9999.  -28.8067  -22.9163  -23.1136
4.800  -24.0716  -25.1430  -23.7588  -24.0591  -9999.  -9999.  -27.9249  -22.8336  -23.0318
4.900  -24.2151  -25.2914  -22.8462  -23.1472  -9999.  -9999.  -27.2532  -22.8184  -23.0180
5.000  -24.3369  -25.4527  -22.2935  -22.5955  -9999.  -9999.  -26.9164  -23.0776  -23.2795
5.100  -24.4202  -25.6031  -22.5028  -22.8050  -26.4932  -26.7937  -27.3214  -24.1518  -24.3553
5.200  -24.5103  -25.7172  -23.2185  -23.5211  -24.5251  -24.8267  -28.2177  -25.3778  -25.5821
5.300  -24.6506  -25.8634  -23.8644  -24.1668  -23.1682  -23.4711  -29.0327  -26.6553  -26.8608
5.400  -24.4742  -25.8378  -24.4055  -24.7079  -22.3753  -22.6779  -29.7340  -27.3804  -27.5875
5.500  -24.6155  -25.9661  -24.6002  -24.9022  -22.2766  -22.5797  -30.0822  -27.8438  -28.0529
5.600  -24.5413  -25.9217  -24.9227  -25.2244  -22.6798  -22.9830  -30.5529  -28.5326  -28.7437
5.700  -24.6648  -26.0651  -25.1363  -25.4382  -23.1453  -23.4483  -30.9102  -29.0817  -29.2940
5.800  -24.7845  -26.1810  -25.3013  -25.6032  -23.5434  -23.8466  -31.2153  -29.5502  -29.7619
5.900  -24.8989  -26.2882  -25.5189  -25.8215  -23.8533  -24.1562  -31.5708  -30.0685  -30.2785
6.000  -25.0406  -26.4205  -25.8678  -26.1704  -24.0839  -24.3863  -32.0548  -30.7089  -30.9160
6.100  -25.1850  -26.5536  -26.3447  -26.6471  -24.2376  -24.5395  -32.6640  -31.4318  -31.6351
6.200  -25.3303  -26.6868  -26.9354  -27.2374  -24.3763  -24.6779  -33.3845  -32.2346  -32.4312
6.300  -25.4731  -26.8184  -27.5309  -27.8329  -24.6018  -24.9046  -34.1079  -33.0284  -33.2153
6.400  -25.6155  -26.9497  -28.1581  -28.4601  -25.0019  -25.3045  -34.8610  -33.8409  -34.0167
6.500  -25.7564  -27.0800  -28.7559  -29.0578  -25.5574  -25.8600  -35.5825  -9999.  -9999.
6.600  -25.8976  -27.2109  -29.3240  -29.6265  -26.1783  -26.4812  -36.2727  -9999.  -9999.
6.700  -26.0392  -27.3427  -29.8728  -30.1758  -26.7950  -27.0981  -36.9421  -9999.  -9999.
6.800  -26.1812  -27.4752  -30.3999  -30.7034  -27.3871  -27.6903  -37.5886  -9999.  -9999.
6.900  -26.3236  -27.6085  -30.9074  -31.2112  -27.9492  -28.2522  -38.2144  -9999.  -9999.
7.000  -26.4664  -27.7427  -31.3972  -31.7010  -28.4768  -28.7798  -38.8213  -9999.  -9999.
7.100  -26.6096  -27.8777  -31.8704  -32.1741  -28.9705  -29.2734  -39.4109  -9999.  -9999.
7.200  -26.7533  -28.0136  -32.3291  -32.6326  -29.4457  -29.7486  -39.9852  -9999.  -9999.
7.300  -26.8976  -28.1504  -32.7769  -33.0803  -29.9048  -30.2077  -40.5481  -9999.  -9999.
7.400  -27.0426  -28.2883  -9999.  -9999.  -30.3464  -30.6493  -9999.  -9999.  -9999.
7.500  -27.1883  -28.4272  -9999.  -9999.  -30.7715  -31.0744  -9999.  -9999.  -9999.
7.600  -27.3346  -28.5669  -9999.  -9999.  -31.1823  -31.4852  -9999.  -9999.  -9999.
7.700  -27.4815  -28.7076  -9999.  -9999.  -31.5809  -31.8838  -9999.  -9999.  -9999.
7.800  -27.6291  -28.8492  -9999.  -9999.  -31.9693  -32.2722  -9999.  -9999.  -9999.
7.900  -27.7772  -28.9915  -9999.  -9999.  -32.3496  -32.6524  -9999.  -9999.  -9999.
8.000  -27.9259  -29.1347  -9999.  -9999.  -32.7235  -33.0263  -9999.  -9999.  -9999.
