# Thu Apr  6 21:26:51 2023
#
# Cooling Map File
#
# Loop values:
# hden -3
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910
3.000  -21.5873  -23.5899  -25.1984  -25.4922  -29.2409  -29.5285  -27.7930  -28.7077  -28.7004
3.100  -21.6085  -23.6408  -25.2425  -25.5363  -29.0538  -29.3415  -27.6408  -28.7160  -28.7090
3.200  -21.6312  -23.6937  -25.2569  -25.5507  -28.8726  -29.1602  -27.5339  -28.7142  -28.7076
3.300  -21.6556  -23.7484  -25.2391  -25.5329  -28.6983  -28.9859  -27.4526  -28.7007  -28.6945
3.400  -21.6816  -23.8050  -25.1925  -25.4863  -28.5369  -28.8245  -27.3866  -28.6766  -28.6709
3.500  -21.7092  -23.8635  -25.1231  -25.4170  -28.3919  -28.6796  -27.3309  -28.6446  -28.6395
3.600  -21.7384  -23.9239  -25.0372  -25.3310  -28.2728  -28.5605  -27.2835  -28.6012  -28.5993
3.700  -23.2525  -24.2900  -24.9789  -25.2524  -28.1919  -28.4795  -27.2406  -28.3373  -28.3969
3.800  -23.3223  -24.3810  -24.8815  -25.1524  -28.1282  -28.4158  -27.2071  -27.3319  -27.4887
3.900  -23.3909  -24.4729  -24.7825  -25.0503  -28.0838  -28.3713  -27.1799  -26.3143  -26.4846
4.000  -23.4512  -24.5637  -24.6841  -24.9487  -28.0445  -28.3321  -27.1609  -25.4943  -25.6679
4.100  -23.4504  -24.6442  -24.5897  -24.8535  -27.9900  -28.2771  -27.1671  -24.8406  -25.0172
4.200  -23.2418  -24.6486  -24.5057  -24.7760  -27.8729  -28.1583  -27.2383  -24.3281  -24.5079
4.300  -22.8715  -24.4608  -24.4420  -24.7240  -27.6072  -27.8904  -27.4048  -23.9473  -24.1295
4.400  -22.6346  -24.2527  -24.4072  -24.6984  -27.2430  -27.5273  -27.6466  -23.6981  -23.8817
4.500  -22.6448  -24.2448  -24.3709  -24.6666  -26.9646  -27.2523  -27.8896  -23.5289  -23.7143
4.600  -22.7740  -24.3725  -24.2295  -24.5270  -26.8483  -27.1390  -28.0047  -23.3073  -23.4948
4.700  -22.9058  -24.5413  -23.9820  -24.2805  -26.8138  -27.1074  -27.9833  -23.0544  -23.2433
4.800  -23.0568  -24.7063  -23.5974  -23.8958  -26.6951  -26.9916  -27.8083  -22.8979  -23.0872
4.900  -23.2342  -24.8599  -22.9625  -23.2598  -26.3500  -26.6485  -27.4012  -22.8454  -23.0353
5.000  -23.4024  -25.0045  -22.4348  -22.7309  -25.8161  -26.1158  -27.0775  -22.9978  -23.1884
5.100  -23.5626  -25.1490  -22.4619  -22.7596  -25.2862  -25.5871  -27.3005  -23.6580  -23.8492
5.200  -23.7162  -25.2933  -22.9107  -23.2115  -24.4621  -24.7637  -27.9342  -24.6709  -24.8627
5.300  -23.8621  -25.4349  -23.4027  -23.7043  -23.3390  -23.6418  -28.5962  -25.6566  -25.8489
5.400  -24.0028  -25.5745  -23.8439  -24.1458  -22.4997  -22.8021  -29.1976  -26.5323  -26.7253
5.500  -24.1548  -25.7155  -24.2270  -24.5285  -22.2811  -22.5839  -29.7341  -27.3145  -27.5081
5.600  -24.3277  -25.8604  -24.5505  -24.8518  -22.6117  -22.9147  -30.2058  -28.0149  -28.2092
5.700  -24.4953  -26.0024  -24.8007  -25.1024  -23.0430  -23.3459  -30.6002  -28.6133  -28.8073
5.800  -24.6579  -26.1419  -24.9852  -25.2869  -23.4375  -23.7405  -30.9252  -29.1126  -29.3045
5.900  -24.8160  -26.2792  -25.1984  -25.5009  -23.7712  -24.0741  -31.2767  -29.6352  -29.8239
6.000  -24.9701  -26.4146  -25.5364  -25.8388  -24.0239  -24.3263  -31.7505  -30.2628  -30.4471
6.100  -25.1207  -26.5486  -26.0467  -26.3486  -24.1900  -24.4919  -32.3939  -31.0317  -31.2109
6.200  -25.2681  -26.6815  -26.6971  -26.9986  -24.3302  -24.6317  -33.1755  -31.9434  -32.1145
6.300  -25.4129  -26.8136  -27.3805  -27.6819  -24.5458  -24.8486  -33.9882  -32.8722  -33.0324
6.400  -25.5555  -26.9453  -28.0395  -28.3409  -24.9214  -25.2241  -34.7749  -33.7424  -33.8903
6.500  -25.6964  -27.0768  -28.6623  -28.9636  -25.4666  -25.7693  -35.5234  -34.5843  -34.7138
6.600  -25.8359  -27.2086  -29.2500  -29.5517  -26.0937  -26.3965  -36.2355  -9999.  -9999.
6.700  -25.9743  -27.3407  -29.8070  -30.1092  -26.7232  -27.0262  -36.9156  -9999.  -9999.
6.800  -26.1118  -27.4734  -30.3375  -30.6401  -27.3257  -27.6288  -37.5683  -9999.  -9999.
6.900  -26.2488  -27.6068  -30.8452  -31.1480  -27.8956  -28.1985  -38.1974  -9999.  -9999.
7.000  -26.3852  -27.7409  -31.3336  -31.6363  -28.4341  -28.7369  -38.8063  -9999.  -9999.
7.100  -26.5213  -27.8759  -31.8051  -32.1076  -28.9444  -29.2472  -39.3980  -9999.  -9999.
7.200  -26.6570  -28.0118  -32.2624  -32.5648  -29.4296  -29.7324  -39.9751  -9999.  -9999.
7.300  -26.7925  -28.1487  -32.7080  -33.0102  -29.8921  -30.1948  -40.5403  -9999.  -9999.
7.400  -26.9277  -28.2865  -9999.  -9999.  -30.3349  -30.6377  -9999.  -9999.  -9999.
7.500  -27.0627  -28.4253  -9999.  -9999.  -30.7606  -31.0633  -9999.  -9999.  -9999.
7.600  -27.1973  -28.5650  -9999.  -9999.  -31.1716  -31.4742  -9999.  -9999.  -9999.
7.700  -27.3317  -28.7056  -9999.  -9999.  -31.5700  -31.8727  -9999.  -9999.  -9999.
7.800  -27.4656  -28.8470  -9999.  -9999.  -31.9582  -32.2608  -9999.  -9999.  -9999.
7.900  -27.5991  -28.9892  -9999.  -9999.  -32.3380  -32.6404  -9999.  -9999.  -9999.
8.000  -27.7321  -29.1322  -9999.  -9999.  -32.7112  -33.0137  -9999.  -9999.  -9999.
