M200(Msun), Mstar_low(Msun, Mstar_high(Msun)
100.000000 0.000000 0.000000
103.279473 0.000000 0.000000
106.666496 0.000000 0.000000
110.164595 0.000000 0.000000
113.777413 0.000000 0.000000
117.508713 0.000000 0.000000
121.362380 0.000000 0.000000
125.342427 0.000000 0.000000
129.452998 0.000000 0.000000
133.698374 0.000000 0.000000
138.082977 0.000000 0.000000
142.611371 0.000000 0.000000
147.288272 0.000000 0.000000
152.118552 0.000000 0.000000
157.107239 0.000000 0.000000
162.259529 0.000000 0.000000
167.580786 0.000000 0.000000
173.076553 0.000000 0.000000
178.752553 0.000000 0.000000
184.614695 0.000000 0.000000
190.669084 0.000000 0.000000
196.922026 0.000000 0.000000
203.380031 0.000000 0.000000
210.049824 0.000000 0.000000
216.938352 0.000000 0.000000
224.052787 0.000000 0.000000
231.400538 0.000000 0.000000
238.989257 0.000000 0.000000
246.826845 0.000000 0.000000
254.921465 0.000000 0.000000
263.281547 0.000000 0.000000
271.915794 0.000000 0.000000
280.833200 0.000000 0.000000
290.043049 0.000000 0.000000
299.554933 0.000000 0.000000
309.378757 0.000000 0.000000
319.524751 0.000000 0.000000
330.003479 0.000000 0.000000
340.825855 0.000000 0.000000
352.003147 0.000000 0.000000
363.546996 0.000000 0.000000
375.469422 0.000000 0.000000
387.782841 0.000000 0.000000
400.500076 0.000000 0.000000
413.634368 0.000000 0.000000
427.199397 0.000000 0.000000
441.209286 0.000000 0.000000
455.678627 0.000000 0.000000
470.622485 0.000000 0.000000
486.056423 0.000000 0.000000
501.996513 0.000000 0.000000
518.459354 0.000000 0.000000
535.462090 0.000000 0.000000
553.022426 0.000000 0.000000
571.158648 0.000000 0.000000
589.889643 0.000000 0.000000
609.234915 0.000000 0.000000
629.214611 0.000000 0.000000
649.849535 0.000000 0.000000
671.161177 0.000000 0.000000
693.171728 0.000000 0.000000
715.904109 0.000000 0.000000
739.381992 0.000000 0.000000
763.629826 0.000000 0.000000
788.672862 0.000000 0.000000
814.537177 0.000000 0.000000
841.249705 0.000000 0.000000
868.838264 0.000000 0.000000
897.331581 0.000000 0.000000
926.759330 0.000000 0.000000
957.152154 0.000000 0.000000
988.541702 0.000000 0.000000
1020.960662 0.000000 0.000000
1054.442794 0.000000 0.000000
1089.022962 0.000000 0.000000
1124.737178 0.000000 0.000000
1161.622633 0.000000 0.000000
1199.717735 0.000000 0.000000
1239.062157 0.000000 0.000000
1279.696868 0.000000 0.000000
1321.664184 0.000000 0.000000
1365.007807 0.000000 0.000000
1409.772872 0.000000 0.000000
1456.005995 0.000000 0.000000
1503.755321 0.000000 0.000000
1553.070574 0.000000 0.000000
1604.003107 0.000000 0.000000
1656.605959 0.000000 0.000000
1710.933907 0.000000 0.000000
1767.043526 0.000000 0.000000
1824.993245 0.000000 0.000000
1884.843409 0.000000 0.000000
1946.656343 0.000000 0.000000
2010.496416 0.000000 0.000000
2076.430107 0.000000 0.000000
2144.526076 0.000000 0.000000
2214.855234 0.000000 0.000000
2287.490817 0.000000 0.000000
2362.508465 0.000000 0.000000
2439.986297 0.000000 0.000000
2520.004994 0.000000 0.000000
2602.647882 0.000000 0.000000
2688.001022 0.000000 0.000000
2776.153294 0.000000 0.000000
2867.196497 0.000000 0.000000
2961.225438 0.000000 0.000000
3058.338032 0.000000 0.000000
3158.635408 0.000000 0.000000
3262.222010 0.000000 0.000000
3369.205706 0.000000 0.000000
3479.697904 0.000000 0.000000
3593.813664 0.000000 0.000000
3711.671819 0.000000 0.000000
3833.395102 0.000000 0.000000
3959.110266 0.000000 0.000000
4088.948226 0.000000 0.000000
4223.044187 0.000000 0.000000
4361.537789 0.000000 0.000000
4504.573252 0.000000 0.000000
4652.299524 0.000000 0.000000
4804.870440 0.000000 0.000000
4962.444878 0.000000 0.000000
5125.186927 0.000000 0.000000
5293.266058 0.000000 0.000000
5466.857300 0.000000 0.000000
5646.141419 0.000000 0.000000
5831.305114 0.000000 0.000000
6022.541201 0.000000 0.000000
6220.048826 0.000000 0.000000
6424.033659 0.000000 0.000000
6634.708121 0.000000 0.000000
6852.291595 0.000000 0.000000
7077.010661 0.000000 0.000000
7309.099329 0.000000 0.000000
7548.799282 0.000000 0.000000
7796.360130 0.000000 0.000000
8052.039671 0.000000 0.000000
8316.104153 0.000000 0.000000
8588.828560 0.000000 0.000000
8870.496890 0.000000 0.000000
9161.402457 0.000000 0.000000
9461.848195 0.000000 0.000000
9772.146970 0.000000 0.000000
10092.621910 0.000000 0.000000
10423.606740 0.000000 0.000000
10765.446128 0.000000 0.000000
11118.496048 0.000000 0.000000
11483.124145 0.000000 0.000000
11859.710123 0.000000 0.000000
12248.646138 0.000000 0.000000
