#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     1.02809e-05     3.35178e-05     3.32076e-05     3.35178e-05     3.32076e-05     3.35178e-05     3.32076e-05
     1.09374e-05      3.5577e-05     3.52477e-05      3.5577e-05     3.52477e-05      3.5577e-05     3.52477e-05
     1.16358e-05     3.77626e-05     3.74132e-05     3.77626e-05     3.74132e-05     3.77626e-05     3.74132e-05
     1.23788e-05     4.00826e-05     3.97117e-05     4.00826e-05     3.97117e-05     4.00826e-05     3.97117e-05
     1.31693e-05     4.25451e-05     4.21514e-05     4.25451e-05     4.21514e-05     4.25451e-05     4.21514e-05
     1.40102e-05     4.51589e-05     4.47409e-05     4.51589e-05     4.47409e-05     4.51589e-05     4.47409e-05
     1.49049e-05     4.79332e-05     4.74896e-05     4.79332e-05     4.74896e-05     4.79332e-05     4.74896e-05
     1.58566e-05      5.0878e-05     5.04072e-05      5.0878e-05     5.04072e-05      5.0878e-05     5.04072e-05
     1.68692e-05     5.40037e-05     5.35039e-05     5.40037e-05     5.35039e-05     5.40037e-05     5.35039e-05
     1.79464e-05     5.73214e-05      5.6791e-05     5.73214e-05      5.6791e-05     5.73214e-05      5.6791e-05
     1.90923e-05      6.0843e-05     6.02799e-05      6.0843e-05     6.02799e-05      6.0843e-05     6.02799e-05
     2.03115e-05     6.45809e-05     6.39832e-05     6.45809e-05     6.39832e-05     6.45809e-05     6.39832e-05
     2.16085e-05     6.85485e-05     6.79141e-05     6.85485e-05     6.79139e-05     6.85485e-05     6.79141e-05
     2.29883e-05     7.27598e-05     7.20858e-05     7.27598e-05     7.20858e-05     7.27598e-05     7.20858e-05
     2.44563e-05     7.72298e-05     7.65144e-05     7.72298e-05     7.65144e-05     7.72298e-05     7.65144e-05
      2.6018e-05     8.19744e-05     8.12151e-05     8.19744e-05     8.12151e-05     8.19744e-05     8.12151e-05
     2.76794e-05     8.70105e-05     8.62046e-05     8.70105e-05     8.62046e-05     8.70105e-05     8.62046e-05
     2.94469e-05      9.2356e-05     9.15006e-05      9.2356e-05     9.15006e-05      9.2356e-05     9.15006e-05
     3.13272e-05       9.803e-05      9.7122e-05       9.803e-05      9.7122e-05       9.803e-05      9.7122e-05
