#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101786E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.398362E+00
   0.102809E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.402365E+00
   0.103842E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.406409E+00
   0.104886E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.410494E+00
   0.105940E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.414619E+00
   0.107004E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.418786E+00
   0.108080E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.422995E+00
   0.109166E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328879E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.427246E+00
   0.110263E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328878E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.431540E+00
   0.111371E-04   0.246660E+06   0.246660E+06   0.328879E+06   0.328878E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.435877E+00
