#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.101148E-04   0.243844E+06   0.243844E+06   0.325124E+06   0.325124E+06   0.000000E+00   0.243844E+06   0.243844E+06   0.249483E+06  -0.602675E+00   0.243282E+06   0.243282E+06   0.471038E+00
   0.161830E-04   0.243844E+06   0.243844E+06   0.325122E+06   0.325121E+06   0.000000E+00   0.243844E+06   0.243844E+06   0.249483E+06  -0.602674E+00   0.243281E+06   0.243281E+06   0.753632E+00
   0.258918E-04   0.243844E+06   0.243844E+06   0.325115E+06   0.325114E+06   0.000000E+00   0.243844E+06   0.243844E+06   0.249482E+06  -0.602674E+00   0.243281E+06   0.243281E+06   0.120576E+01
   0.414254E-04   0.243843E+06   0.243843E+06   0.325100E+06   0.325096E+06   0.000000E+00   0.243843E+06   0.243843E+06   0.249482E+06  -0.602672E+00   0.243281E+06   0.243281E+06   0.192914E+01
   0.662782E-04   0.243842E+06   0.243842E+06   0.325060E+06   0.325050E+06   0.000000E+00   0.243842E+06   0.243842E+06   0.249480E+06  -0.602667E+00   0.243280E+06   0.243280E+06   0.308649E+01
   0.106041E-03   0.243839E+06   0.243838E+06   0.324957E+06   0.324933E+06   0.000000E+00   0.243839E+06   0.243839E+06   0.249475E+06  -0.602655E+00   0.243277E+06   0.243277E+06   0.493808E+01
   0.169659E-03   0.243832E+06   0.243829E+06   0.324693E+06   0.324633E+06   0.000000E+00   0.243832E+06   0.243832E+06   0.249463E+06  -0.602624E+00   0.243269E+06   0.243269E+06   0.790015E+01
   0.271445E-03   0.243813E+06   0.243805E+06   0.324020E+06   0.323867E+06   0.000000E+00   0.243812E+06   0.243812E+06   0.249432E+06  -0.602545E+00   0.243251E+06   0.243249E+06   0.126378E+02
   0.434296E-03   0.243766E+06   0.243745E+06   0.322304E+06   0.321912E+06   0.000000E+00   0.243762E+06   0.243762E+06   0.249352E+06  -0.602343E+00   0.243202E+06   0.243197E+06   0.202117E+02
   0.694848E-03   0.243644E+06   0.243590E+06   0.317945E+06   0.316957E+06   0.000000E+00   0.243635E+06   0.243635E+06   0.249149E+06  -0.601828E+00   0.243079E+06   0.243066E+06   0.323046E+02
   0.111171E-02   0.243333E+06   0.243196E+06   0.307027E+06   0.304590E+06   0.000000E+00   0.243311E+06   0.243311E+06   0.248636E+06  -0.600523E+00   0.242763E+06   0.242732E+06   0.515517E+02
   0.177868E-02   0.242546E+06   0.242197E+06   0.280577E+06   0.274917E+06   0.000000E+00   0.242492E+06   0.242492E+06   0.247358E+06  -0.597262E+00   0.241964E+06   0.241883E+06   0.819419E+02
   0.284578E-02   0.240597E+06   0.239709E+06   0.221864E+06   0.210664E+06   0.000000E+00   0.240457E+06   0.240457E+06   0.244305E+06  -0.589408E+00   0.239963E+06   0.239760E+06   0.128997E+03
   0.455307E-02   0.235975E+06   0.233738E+06   0.118346E+06   0.104678E+06   0.000000E+00   0.235623E+06   0.235623E+06   0.237676E+06  -0.572063E+00   0.235128E+06   0.234630E+06   0.198672E+03
   0.728465E-02   0.226026E+06   0.220521E+06   0.218913E+05   0.231091E+05   0.000000E+00   0.225161E+06   0.225161E+06   0.225540E+06  -0.539883E+00   0.224408E+06   0.223230E+06   0.293275E+03
   0.109270E-01   0.210683E+06   0.199188E+06   0.139435E+05   0.134565E+05   0.000000E+00   0.208875E+06   0.208875E+06   0.209117E+06  -0.498453E+00   0.207749E+06   0.205404E+06   0.389532E+03
   0.145693E-01   0.194961E+06   0.176438E+06   0.540073E+04   0.493789E+04   0.000000E+00   0.192048E+06   0.192048E+06   0.192142E+06  -0.457916E+00   0.190937E+06   0.187289E+06   0.454558E+03
   0.182116E-01   0.179399E+06   0.153756E+06   0.387836E+04   0.333002E+04   0.000000E+00   0.175367E+06   0.175367E+06   0.175434E+06  -0.417813E+00   0.174441E+06   0.169537E+06   0.488666E+03
   0.218539E-01   0.164385E+06   0.132417E+06   0.307713E+04   0.209910E+04   0.000000E+00   0.159358E+06   0.159358E+06   0.159412E+06  -0.379627E+00   0.158654E+06   0.152712E+06   0.493442E+03
   0.254963E-01   0.150273E+06   0.113488E+06   0.288114E+04   0.139604E+04   0.000000E+00   0.144488E+06   0.144488E+06   0.144538E+06  -0.344136E+00   0.143990E+06   0.137353E+06   0.472470E+03
   0.291386E-01   0.137352E+06   0.977175E+05   0.102250E+04   0.969323E+03   0.000000E+00   0.131119E+06   0.131119E+06   0.131137E+06  -0.312207E+00   0.130763E+06   0.123842E+06   0.431069E+03
   0.327809E-01   0.125815E+06   0.854554E+05   0.631231E+03   0.697614E+03   0.000000E+00   0.119469E+06   0.119469E+06   0.119480E+06  -0.284418E+00   0.119186E+06   0.112401E+06   0.375651E+03
   0.364232E-01   0.115746E+06   0.766466E+05   0.675347E+03   0.518534E+03   0.000000E+00   0.109597E+06   0.109597E+06   0.109609E+06  -0.260911E+00   0.109326E+06   0.103045E+06   0.313011E+03
   0.400656E-01   0.107110E+06   0.708760E+05   0.333664E+03   0.397120E+03   0.000000E+00   0.101412E+06   0.101412E+06   0.101418E+06  -0.241402E+00   0.101105E+06   0.955954E+05   0.249572E+03
   0.437079E-01   0.997619E+05   0.674493E+05   0.312695E+03   0.312192E+03   0.000000E+00   0.946807E+05   0.946807E+05   0.946861E+05  -0.225369E+00   0.943046E+05   0.897109E+05   0.190754E+03
   0.473502E-01   0.935634E+05   0.656132E+05   0.251529E+03   0.251122E+03   0.000000E+00   0.891682E+05   0.891682E+05   0.891726E+05  -0.212240E+00   0.887168E+05   0.850516E+05   0.140489E+03
   0.509925E-01   0.882079E+05   0.644725E+05   0.205964E+03   0.205629E+03   0.000000E+00   0.844755E+05   0.844755E+05   0.844791E+05  -0.201064E+00   0.839536E+05   0.811118E+05   0.101143E+03
   0.546349E-01   0.834652E+05   0.633212E+05   0.170892E+03   0.170614E+03   0.000000E+00   0.802975E+05   0.802975E+05   0.803005E+05  -0.191116E+00   0.797255E+05   0.775159E+05   0.734008E+02
   0.582772E-01   0.791632E+05   0.616804E+05   0.143117E+03   0.142883E+03   0.000000E+00   0.764140E+05   0.764140E+05   0.764165E+05  -0.181869E+00   0.758245E+05   0.740103E+05   0.565003E+02
   0.619195E-01   0.751428E+05   0.592734E+05   0.120571E+03   0.120374E+03   0.000000E+00   0.726473E+05   0.726473E+05   0.726494E+05  -0.172902E+00   0.720753E+05   0.704161E+05   0.486325E+02
   0.655618E-01   0.712975E+05   0.560577E+05   0.101947E+03   0.101781E+03   0.000000E+00   0.689011E+05   0.689011E+05   0.689028E+05  -0.163984E+00   0.683768E+05   0.666664E+05   0.473479E+02
   0.692042E-01   0.675716E+05   0.521862E+05   0.864126E+02   0.862719E+02   0.000000E+00   0.651522E+05   0.651522E+05   0.651537E+05  -0.155061E+00   0.646960E+05   0.627896E+05   0.499960E+02
   0.728465E-01   0.639710E+05   0.479643E+05   0.734336E+02   0.733145E+02   0.000000E+00   0.614539E+05   0.614539E+05   0.614552E+05  -0.146258E+00   0.610750E+05   0.589035E+05   0.541012E+02
   0.764888E-01   0.605380E+05   0.437620E+05   0.626345E+02   0.625334E+02   0.000000E+00   0.579000E+05   0.579000E+05   0.579011E+05  -0.137799E+00   0.575964E+05   0.551664E+05   0.576599E+02
   0.810154E-01   0.565886E+05   0.390921E+05   0.518023E+02   0.517190E+02   0.000000E+00   0.538372E+05   0.538372E+05   0.538381E+05  -0.128129E+00   0.536105E+05   0.509615E+05   0.593417E+02
   0.855421E-01   0.530601E+05   0.354704E+05   0.433515E+02   0.432820E+02   0.000000E+00   0.502941E+05   0.502941E+05   0.502948E+05  -0.119696E+00   0.501133E+05   0.474257E+05   0.570223E+02
   0.900687E-01   0.499887E+05   0.330867E+05   0.367990E+02   0.367400E+02   0.000000E+00   0.473309E+05   0.473309E+05   0.473315E+05  -0.112643E+00   0.471615E+05   0.446291E+05   0.510294E+02
   0.945953E-01   0.473687E+05   0.318445E+05   0.317052E+02   0.316542E+02   0.000000E+00   0.449275E+05   0.449275E+05   0.449281E+05  -0.106923E+00   0.447416E+05   0.425179E+05   0.426646E+02
   0.991220E-01   0.451401E+05   0.314118E+05   0.276793E+02   0.276346E+02   0.000000E+00   0.429813E+05   0.429813E+05   0.429818E+05  -0.102291E+00   0.427632E+05   0.409259E+05   0.336418E+02
   0.103649E+00   0.431945E+05   0.313257E+05   0.243936E+02   0.243541E+02   0.000000E+00   0.413281E+05   0.413281E+05   0.413286E+05  -0.983559E-01   0.410758E+05   0.396158E+05   0.255658E+02
   0.108175E+00   0.414107E+05   0.311339E+05   0.216031E+02   0.215679E+02   0.000000E+00   0.397946E+05   0.397946E+05   0.397950E+05  -0.947060E-01   0.395172E+05   0.383518E+05   0.195535E+02
   0.112702E+00   0.396933E+05   0.305158E+05   0.191501E+02   0.191189E+02   0.000000E+00   0.382502E+05   0.382502E+05   0.382505E+05  -0.910301E-01   0.379645E+05   0.369675E+05   0.160564E+02
