#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001      0.00141408      0.00141408      0.00141408
     0.000106333      0.00149999      0.00149999      0.00149999
     0.000113066      0.00159111      0.00159111      0.00159111
     0.000120226      0.00168776      0.00168776      0.00168776
      0.00012784      0.00179028      0.00179028      0.00179028
     0.000135936      0.00189901      0.00189901      0.00189901
     0.000144544      0.00201433      0.00201433      0.00201433
     0.000153697      0.00213665      0.00213665      0.00213665
     0.000163431      0.00226637      0.00226637      0.00226637
      0.00017378      0.00240395      0.00240395      0.00240395
     0.000184785      0.00254986      0.00254986      0.00254986
     0.000196487       0.0027046       0.0027046       0.0027046
      0.00020893      0.00286869      0.00286869      0.00286869
      0.00022216       0.0030427       0.0030427       0.0030427
     0.000236229      0.00322721      0.00322721      0.00322721
     0.000251189      0.00342286      0.00342286      0.00342286
     0.000267096       0.0036303       0.0036303       0.0036303
      0.00028401      0.00385023      0.00385023      0.00385023
     0.000301995      0.00408339      0.00408339      0.00408339
     0.000321119      0.00433056      0.00433056      0.00433056
     0.000341455      0.00459255      0.00459255      0.00459255
     0.000363078      0.00487022      0.00487022      0.00487022
     0.000386071       0.0051645       0.0051645       0.0051645
     0.000410519      0.00547633      0.00547633      0.00547633
     0.000436516      0.00580673      0.00580673      0.00580673
     0.000464159      0.00615674      0.00615674      0.00615674
     0.000493552      0.00652747      0.00652747      0.00652747
     0.000524807      0.00692009      0.00692009      0.00692009
     0.000558042       0.0073358       0.0073358       0.0073358
     0.000593381      0.00777587      0.00777587      0.00777587
     0.000630957      0.00824161      0.00824161      0.00824161
     0.000670914      0.00873441      0.00873441      0.00873441
       0.0007134      0.00925567      0.00925567      0.00925567
     0.000758578      0.00980687      0.00980687      0.00980687
     0.000806616       0.0103895       0.0103895       0.0103895
     0.000857696       0.0110052       0.0110052       0.0110052
     0.000912011       0.0116555       0.0116555       0.0116555
     0.000969765        0.012342        0.012342        0.012342
      0.00103118       0.0130664       0.0130664       0.0130664
      0.00109648       0.0138304       0.0138304       0.0138304
      0.00116591       0.0146357       0.0146357       0.0146357
      0.00123975       0.0154838       0.0154838       0.0154838
      0.00131826       0.0163765       0.0163765       0.0163765
      0.00140174       0.0173155       0.0173155       0.0173155
       0.0014905       0.0183021       0.0183021       0.0183021
      0.00158489        0.019338        0.019338        0.019338
      0.00168526       0.0204245       0.0204245       0.0204245
      0.00179198        0.021563        0.021563        0.021563
      0.00190546       0.0227544       0.0227544       0.0227544
      0.00202613       0.0239998       0.0239998       0.0239998
      0.00215443       0.0252998       0.0252998       0.0252998
      0.00229087        0.026655        0.026655        0.026655
      0.00243594       0.0280656       0.0280656       0.0280656
       0.0025902       0.0295313       0.0295313       0.0295313
      0.00275423       0.0310518       0.0310518       0.0310518
      0.00292864       0.0326261       0.0326261       0.0326261
      0.00311411       0.0342528       0.0342528       0.0342528
      0.00331131       0.0359302       0.0359302       0.0359302
      0.00352101       0.0376558       0.0376558       0.0376558
      0.00374398       0.0394266       0.0394266       0.0394266
      0.00398107       0.0412392       0.0412392       0.0412392
      0.00423318       0.0430892       0.0430892       0.0430892
      0.00450125       0.0449717       0.0449717       0.0449717
       0.0047863       0.0468809       0.0468809       0.0468809
       0.0050894       0.0488104       0.0488104       0.0488104
       0.0054117        0.050753        0.050753        0.050753
       0.0057544       0.0527003       0.0527003       0.0527003
      0.00611881       0.0546434       0.0546434       0.0546434
      0.00650629       0.0565724       0.0565724       0.0565724
      0.00691831       0.0584764       0.0584764       0.0584764
      0.00735642       0.0603434       0.0603434       0.0603434
      0.00782228       0.0621607       0.0621607       0.0621607
      0.00831764       0.0639144       0.0639144       0.0639144
      0.00884437       0.0655896       0.0655896       0.0655896
      0.00940445       0.0671703       0.0671703       0.0671703
            0.01       0.0686395       0.0686395       0.0686395
       0.0106333       0.0699789       0.0699789       0.0699789
       0.0113066       0.0711695       0.0711695       0.0711695
       0.0120226       0.0721908       0.0721908       0.0721908
        0.012784       0.0730217       0.0730217       0.0730217
       0.0135936       0.0736402       0.0736402       0.0736402
       0.0144544       0.0740237       0.0740237       0.0740237
       0.0153697       0.0741501       0.0741501       0.0741501
       0.0163431       0.0739977       0.0739977       0.0739977
        0.017378       0.0735467       0.0735467       0.0735467
       0.0184785       0.0727807       0.0727807       0.0727807
       0.0196487       0.0716881       0.0716881       0.0716881
        0.020893       0.0702646       0.0702646       0.0702646
        0.022216       0.0685146       0.0685146       0.0685146
       0.0236229       0.0664541       0.0664541       0.0664541
       0.0251189       0.0641111       0.0641111       0.0641111
       0.0267096        0.061527        0.061527        0.061527
        0.028401       0.0587544       0.0587544       0.0587544
       0.0301995       0.0558555       0.0558555       0.0558555
       0.0321119       0.0528975       0.0528975       0.0528975
       0.0341455       0.0499482       0.0499482       0.0499482
       0.0363078       0.0470714       0.0470714       0.0470714
       0.0386071       0.0443229       0.0443229       0.0443229
       0.0410519       0.0417483       0.0417483       0.0417483
       0.0436516       0.0393818       0.0393818       0.0393818
       0.0464159        0.037245        0.037245        0.037245
       0.0493552       0.0353452       0.0353452       0.0353452
       0.0524807       0.0336713       0.0336713       0.0336713
       0.0558042       0.0321887       0.0321887       0.0321887
       0.0593381       0.0308328       0.0308328       0.0308328
       0.0630957       0.0295076       0.0295076       0.0295076
       0.0670914       0.0280934       0.0280934       0.0280934
         0.07134       0.0264709       0.0264709       0.0264709
       0.0758578       0.0245611       0.0245611       0.0245611
       0.0806616       0.0223712       0.0223712       0.0223712
       0.0857696         0.02002         0.02002         0.02002
       0.0912011       0.0177203       0.0177203       0.0177203
       0.0969765       0.0157086       0.0157086       0.0157086
        0.103118       0.0141523       0.0141523       0.0141523
        0.109648       0.0130722       0.0130722       0.0130722
        0.116591       0.0123154       0.0123154       0.0123154
        0.123975       0.0116025       0.0116025       0.0116025
        0.131826       0.0106716       0.0106716       0.0106716
        0.140174      0.00946849      0.00946849      0.00946849
         0.14905      0.00820729      0.00820729      0.00820729
        0.158489      0.00718948      0.00718948      0.00718948
        0.168526      0.00653318      0.00653318      0.00653318
        0.179198      0.00607087      0.00607087      0.00607087
